"catalogStandard","canonicalLessonId","slug","grade","declaredStandards","domain","unit","positionWithinUnit","positionMeaning","objective","exists","registered","technicalQa","curriculumApproval","productionRelease","planningEligible","roadmapCheckmark","checkpoints","relationship","mismatches","combinedStandardCandidates","sources","sourceVersion"
"RL.K.9","same-and-different","same-and-different","Kindergarten","RL.K.9","Reading Literature","K.U3","4","roadmap-standard-row-not-approved-lesson-order","I can tell what happened to both friends, and what happened to just one friend in a story.","true","true","unknown","unknown","unknown","false","true","same-and-different-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/same-and-different.ts; docs/UNIT_ROADMAP.md:53","14a3466ec86bd76f6eb2cc98e8f37fa419051969a96f0979445bd84e3889aa8c"
"RI.K.2","whats-it-about","whats-it-about","Kindergarten","RI.K.2","Reading Informational Text","K.U4","2","roadmap-standard-row-not-approved-lesson-order","I can name what a book is all about and tell important facts.","true","true","unknown","unknown","unknown","false","true","k-final; unit-4-exam; whats-it-about-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/whats-it-about.ts; docs/UNIT_ROADMAP.md:64","7bea16a6de3fe7e4eca8d7d447f71d494ff88b8dba0c9e30820fa713b916b242"
"RI.K.3","how-they-connect","how-they-connect","Kindergarten","RI.K.3","Reading Informational Text","K.U4","3","roadmap-standard-row-not-approved-lesson-order","I can tell why two things go together in a fact.","true","true","unknown","unknown","unknown","false","true","how-they-connect-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/how-they-connect.ts; docs/UNIT_ROADMAP.md:65","4487a2edf963c575a070bc5cfacfc9200984dfd1c9a43661258921e0e6160704"
"RI.K.4","science-word-wonder","science-word-wonder","Kindergarten","RI.K.4","Reading Informational Text","K.U4","4","roadmap-standard-row-not-approved-lesson-order","I can figure out new science words in a fact book.","true","true","unknown","unknown","unknown","false","true","science-word-wonder-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/science-word-wonder.ts; docs/UNIT_ROADMAP.md:66","aaed21565838a2d5a9220a70e8ed125b7c587e83d3e6d27e9b0ac864a06cd64b"
"RI.K.5","parts-of-a-book","parts-of-a-book","Kindergarten","RI.K.5","Reading Informational Text","K.U4","5","roadmap-standard-row-not-approved-lesson-order","I can find the front cover, back cover, and title page of a book.","true","true","unknown","unknown","unknown","false","true","parts-of-a-book-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/parts-of-a-book.ts; docs/UNIT_ROADMAP.md:67","eacf37a85f24d56607d6f4f744e4bc5ce45fc79b5390d8e55f909729708c21f5"
"RI.K.6","fact-book-makers","fact-book-makers","Kindergarten","RI.K.6","Reading Informational Text","K.U4","6","roadmap-standard-row-not-approved-lesson-order","You will learn who makes a fact book: the author writes the true words, and the illustrator makes the pictures or photos!","true","true","unknown","unknown","unknown","false","true","fact-book-makers-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-book-makers.ts; docs/UNIT_ROADMAP.md:68","a88d7bee858bb2752a608afb852e967a51c44dcb5824864f56f2e9c0608eb5cd"
"RI.K.7","diagram-detectives","diagram-detectives","Kindergarten","RI.K.7","Reading Informational Text","K.U4","7","roadmap-standard-row-not-approved-lesson-order","I can tell what person, place, or thing a fact book picture shows.","true","true","unknown","unknown","unknown","false","true","diagram-detectives-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/diagram-detectives.ts; docs/UNIT_ROADMAP.md:69","c5b4dc7072206cc9c3aad7eb1a5f80c4c729e322f20010b6852b57da2f4ee752"
"RI.K.8","author-reasons","author-reasons","Kindergarten","RI.K.8","Reading Informational Text","K.U4","8","roadmap-standard-row-not-approved-lesson-order","I can find the reasons an author gives in a fact book.","true","true","unknown","unknown","unknown","false","true","author-reasons-quiz; k-final; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/author-reasons.ts; docs/UNIT_ROADMAP.md:70","a55afa78fa9b03c1e7e0cc18577d2dc86a793e5c438b5148114e4517c79922e9"
"RI.K.9","two-books-one-topic","two-books-one-topic","Kindergarten","RI.K.9","Reading Informational Text","K.U4","9","roadmap-standard-row-not-approved-lesson-order","I can tell which facts are in both books and which facts are in just one book.","true","true","unknown","unknown","unknown","false","true","two-books-one-topic-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-books-one-topic.ts; docs/UNIT_ROADMAP.md:71","7fc0361ba461cb8411ffdee61b54c69018f1857674884a8d087641b75164876b"
"RF.K.1a","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","1","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:21","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
"RF.K.1b","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","2","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:22","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
"RF.K.1c","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","3","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:23","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
"RF.K.1d","letter-pairs","letter-pairs","Kindergarten","RF.K.1d","Foundational Skills","K.U1","4","roadmap-standard-row-not-approved-lesson-order","Every big letter has a little letter partner, and you can match them!","true","true","unknown","unknown","unknown","false","true","k-final; letter-pairs-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/letter-pairs.ts; docs/UNIT_ROADMAP.md:24","6e914a006a6163477ee2a75044d7108e37d6092257b2109685114e3be0e2300e"
"RF.K.2b","syllable-beats","syllable-beats","Kindergarten","RF.K.2b","Foundational Skills","K.U1","6","roadmap-standard-row-not-approved-lesson-order","I can clap and count the beats in words!","true","true","unknown","unknown","unknown","false","true","syllable-beats-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/syllable-beats.ts; docs/UNIT_ROADMAP.md:26","11dbd17259aae4f1d61138646ed757cd472b895cc35b2fe0be754a9330be3d13"
"RF.K.2c","sound-sliders","sound-sliders","Kindergarten","RF.K.2c","Foundational Skills","K.U2","1","roadmap-standard-row-not-approved-lesson-order","I can slide sounds together to make a word and break a word into its parts!","true","true","unknown","unknown","unknown","false","true","k-final; sound-sliders-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-sliders.ts; docs/UNIT_ROADMAP.md:37","b062c7076cc729a120d5c13c59c3b3cb5e9aef78c89c8d442bfab85e3318141c"
"RF.K.2d","sound-detectives","sound-detectives","Kindergarten","RF.K.2d","Foundational Skills","K.U2","2","roadmap-standard-row-not-approved-lesson-order","You will become a super sound detective and find sounds in words.","true","true","unknown","unknown","unknown","false","true","k-final; sound-detectives-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-detectives.ts; docs/UNIT_ROADMAP.md:38","c96c4d79ec8850b276683ccb634b28cc6f8c45607fe9b051e22d4c03474e598c"
"RF.K.2e","word-machines","word-machines","Kindergarten","RF.K.2e","Foundational Skills","K.U2","3","roadmap-standard-row-not-approved-lesson-order","You will learn to change one sound in a word to make a brand-new word!","true","true","unknown","unknown","unknown","false","true","k-final; unit-2-exam; word-machines-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-machines.ts; docs/UNIT_ROADMAP.md:39","141bac4955e77ea1599b2fd48b2f174451ce9d0a0fffe4ee408cce3ae82e21c5"
"RF.K.3a","letter-sounds","letter-sounds","Kindergarten","RF.K.3a","Foundational Skills","K.U2","4","roadmap-standard-row-not-approved-lesson-order","You will learn to say the most common sound for consonant letters!","true","true","unknown","unknown","unknown","false","true","k-final; letter-sounds-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/letter-sounds.ts; docs/UNIT_ROADMAP.md:40","6a6cd6750f9a72f3413ff5c38c227adf1bbee8c0f0925b6fe693ec8c32847d86"
"RF.K.3b","silent-e","silent-e","Kindergarten","RF.K.3b","Foundational Skills","K.U1","7","roadmap-standard-row-not-approved-lesson-order","A silent E at the end is quiet, but it makes the vowel say its name.","true","true","unknown","unknown","unknown","false","true","","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/silent-e.ts; docs/UNIT_ROADMAP.md:27","34b8ba324d4c63e3317b6b0be4a76a85499ac0f7ecd75f85347a51c3e4ca4dd1"
"RF.K.3c","snap-words","snap-words","Kindergarten","RF.K.3c","Foundational Skills","K.U2","5","roadmap-standard-row-not-approved-lesson-order","You will learn to read special words super fast, like a snap!","true","true","unknown","unknown","unknown","false","true","k-final; snap-words-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/snap-words.ts; docs/UNIT_ROADMAP.md:41","08247fa812657d25fcbe97757263fc6f30d0cfe29b2289e228d2d86249d3abc8"
"RF.K.3d","look-close","look-close","Kindergarten","RF.K.3d","Foundational Skills","K.U3","1","roadmap-standard-row-not-approved-lesson-order","You will learn to look closely at words and find the letter that changes them.","true","true","unknown","unknown","unknown","false","true","k-final; look-close-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/look-close.ts; docs/UNIT_ROADMAP.md:50","e2c78a60ef2d8227d58c509e850e16a1600e35d114cd910c4530c486843fe310"
"RF.K.4","my-first-read","my-first-read","Kindergarten","RF.K.4","Foundational Skills","K.U3","2","roadmap-standard-row-not-approved-lesson-order","I can read a story and understand what happens!","true","true","unknown","unknown","unknown","false","true","my-first-read-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/my-first-read.ts; docs/UNIT_ROADMAP.md:51","f10a739da76b300b360f254df6be34d6669f8ea814f03bb2b716f67d46d45956"
"K.L.1","naming-doing-words","naming-doing-words","Kindergarten","K.L.1","Language","K.U2","8","roadmap-standard-row-not-approved-lesson-order","I can sort naming words from doing words, and make words mean more than one!","true","true","unknown","unknown","unknown","false","true","k-final; naming-doing-words-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/naming-doing-words.ts; docs/UNIT_ROADMAP.md:44","cb336621b3f197bef6433f9deff11f8a2441ccc4464b0e3a163e80e7095f0072"
"K.L.2","capital-start","capital-start","Kindergarten","K.L.2","Language","K.U3","8","roadmap-standard-row-not-approved-lesson-order","I can make sentences start big and stop strong!","true","true","unknown","unknown","unknown","false","true","capital-start-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/capital-start.ts; docs/UNIT_ROADMAP.md:57","18485b9e652bf493f4468641ba123e636e06b8aef5317f172ba895e3851239f0"
"K.L.4","double-duty-words","double-duty-words","Kindergarten","K.L.4","Language","K.U3","6","roadmap-standard-row-not-approved-lesson-order","I can learn that some words have two jobs!","true","true","unknown","unknown","unknown","false","true","double-duty-words-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/double-duty-words.ts; docs/UNIT_ROADMAP.md:55","81d01e795b7ed68fb77f15f50389084feba334dc208161dd2cf2dc731672fb45"
"K.L.5","word-families-friends","word-families-friends","Kindergarten","K.L.5","Language","K.U3","7","roadmap-standard-row-not-approved-lesson-order","You will sort words, find word buddies, and connect words to real life!","true","true","unknown","unknown","unknown","false","true","unit-3-exam; word-families-friends-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-families-friends.ts; docs/UNIT_ROADMAP.md:56","4c4d69500210b76c95686d8d9a581d4124aaf89e0402e2de2bc367b9ef29c0dd"
"K.L.6","big-kid-words","big-kid-words","Kindergarten","K.L.6","Language","K.U1","12","roadmap-standard-row-not-approved-lesson-order","You will learn and use position words to tell where things are.","true","true","unknown","unknown","unknown","false","true","big-kid-words-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/big-kid-words.ts; docs/UNIT_ROADMAP.md:32","23f20ec2fea4d7dcda79e882840bab9848c9dc8866ed82a92914d426dbdb59fa"
"RL.1.1","ask-it-find-it","ask-it-find-it","1st Grade","RL.1.1","Literature","G1.U1","4","roadmap-standard-row-not-approved-lesson-order","I can ask a question about a story and find the answer in its words.","true","true","unknown","unknown","unknown","false","true","ask-it-find-it-quiz; g1-final; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/ask-it-find-it.ts; docs/UNIT_ROADMAP.md:83","799962473be88623d15b72512bfb69f5a7067e0013f1b3124e9ed623c37d3d8c"
"RL.1.2","story-message","story-message","1st Grade","RL.1.2","Literature","G1.U1","5","roadmap-standard-row-not-approved-lesson-order","I can retell a story in order and find its central message.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; story-message-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-message.ts; docs/UNIT_ROADMAP.md:84","3155b1690ee0fb1fd852adf8e5782d0501422b26d4af2cc52541209785d05d89"
"RL.1.3","story-parts","story-parts","1st Grade","RL.1.3","Literature","G1.U2","4","roadmap-standard-row-not-approved-lesson-order","I can describe a story's characters, setting, and major events using key details.","true","true","unknown","unknown","unknown","false","true","g1-unit-2-exam; story-parts-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-parts.ts; docs/UNIT_ROADMAP.md:98","04cf1eb1b33136b61fcafcc9a721cb0ec7e3aa49194e55ffc5ea1ca119f0f601"
"RL.1.4","word-pictures","word-pictures","1st Grade","RL.1.4","Literature","G1.U2","5","roadmap-standard-row-not-approved-lesson-order","I can find words in poems and stories that appeal to the senses or show feelings.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-2-exam; word-pictures-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-pictures.ts; docs/UNIT_ROADMAP.md:99","372e65d4406e9ab9ee2879589b7dd013fac1234069a88e1524df963e91ca14ba"
"RL.1.5","two-kinds-of-books","two-kinds-of-books","1st Grade","RL.1.5","Literature","G1.U3","4","roadmap-standard-row-not-approved-lesson-order","I can explain how books that tell stories and books that give information are different.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; two-kinds-of-books-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-kinds-of-books.ts; docs/UNIT_ROADMAP.md:113","346a9471dc8d22c1592b10a8c40d7ce568276a52989a6679927035e7533e8d0e"
"RL.1.6","whos-telling-it","whos-telling-it","1st Grade","RL.1.6","Literature","G1.U3","5","roadmap-standard-row-not-approved-lesson-order","I can find out who is telling the story at each part.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-3-exam; whos-telling-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/whos-telling-it.ts; docs/UNIT_ROADMAP.md:114","7d4c24c62101dfb2459a6bab9788b039857ad7381e932b0ef322889bc0d6f23d"
"RL.1.7","picture-detectives","picture-detectives","1st Grade","RL.1.7","Literature","G1.U4","4","roadmap-standard-row-not-approved-lesson-order","I can use the words and the picture together to describe a story.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; picture-detectives-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-detectives.ts; docs/UNIT_ROADMAP.md:128","d17fadb694f9a43a3c0379c4b4db0047de6d6f330a39e731c116f107a214f004"
"RL.1.9","same-different-stories","same-different-stories","1st Grade","RL.1.9","Literature","G1.U4","5","roadmap-standard-row-not-approved-lesson-order","I can compare and contrast what happens to two characters and how each one feels and acts.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; same-different-stories-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/same-different-stories.ts; docs/UNIT_ROADMAP.md:129","9cd0287f2c03d223d505e5235f54e4fd2c51eb3c6885114d1b1623fd734a2d08"
"RI.1.1","fact-questions","fact-questions","1st Grade","RI.1.1","Informational","G1.U1","6","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about facts in a book.","true","true","unknown","unknown","unknown","false","true","fact-questions-quiz; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-questions.ts; docs/UNIT_ROADMAP.md:85","61a3dc18836139b45125800ea79d0ca34921e87d45dc876fbab75f2915fae1b9"
"RI.1.2","topic-spotter","topic-spotter","1st Grade","RI.1.2","Informational","G1.U1","7","roadmap-standard-row-not-approved-lesson-order","I can name the main topic of a fact book and retell its key details in order.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; topic-spotter-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/topic-spotter.ts; docs/UNIT_ROADMAP.md:86","ba11b49a7302c89848c3a3eb023ddbcf21fe6d1c29f3d550b1a80e986a1baed2"
"RI.1.3","fact-links","fact-links","1st Grade","RI.1.3","Informational","G1.U2","6","roadmap-standard-row-not-approved-lesson-order","I can tell how two facts in a book link together.","true","true","unknown","unknown","unknown","false","true","fact-links-quiz; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-links.ts; docs/UNIT_ROADMAP.md:100","7aec7c13c0c1d3dc2668b014d83bc54d757f491c6154647f28117ae6060e94b0"
"RI.1.4","fact-word-finder","fact-word-finder","1st Grade","RI.1.4","Informational","G1.U2","7","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about new words in a fact book.","true","true","unknown","unknown","unknown","false","true","fact-word-finder-quiz; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-word-finder.ts; docs/UNIT_ROADMAP.md:101","62f4bbb663f866855402e76e508b4ed6b13a4a260edcb5289e3cd4cffb6d087b"
"RI.1.5","text-feature-finders","text-feature-finders","1st Grade","RI.1.5","Informational","G1.U3","6","roadmap-standard-row-not-approved-lesson-order","I can use text features to find facts fast.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-3-exam; text-feature-finders-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/text-feature-finders.ts; docs/UNIT_ROADMAP.md:115","b69e63bb245131a25a33620470569e4d2639be3e797d37005052390e0a3abfbc"
"RI.1.6","picture-or-words","picture-or-words","1st Grade","RI.1.6","Informational","G1.U3","7","roadmap-standard-row-not-approved-lesson-order","I can tell if a fact came from the words or the picture.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; picture-or-words-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-or-words.ts; docs/UNIT_ROADMAP.md:116","818400acc37fc6a85c0150f8130136e0e151051b4378283324d06e91311342ae"
"RI.1.7","idea-illustrators","idea-illustrators","1st Grade","RI.1.7","Informational","G1.U4","6","roadmap-standard-row-not-approved-lesson-order","I can use the words and the picture to describe what a fact page teaches.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; idea-illustrators-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/idea-illustrators.ts; docs/UNIT_ROADMAP.md:130","761aad44fc306087ab5d1e9cd666766ad4f27f99456abec3f476495e3c3e91d1"
"RI.1.8","prove-it","prove-it","1st Grade","RI.1.8","Informational","G1.U4","7","roadmap-standard-row-not-approved-lesson-order","I can find the author's point and the reasons that prove it.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-4-exam; prove-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/prove-it.ts; docs/UNIT_ROADMAP.md:131","01bce483edfaf5251bd9a65548d607377643aeb5e418d8f2b43a22168f6be14f"
"RI.1.9","two-texts-compare","two-texts-compare","1st Grade","RI.1.9","Informational","G1.U5","4","roadmap-standard-row-not-approved-lesson-order","I can find facts two books share and facts only one book teaches.","true","true","unknown","unknown","unknown","false","true","g1-unit-5-exam; two-texts-compare-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-texts-compare.ts; docs/UNIT_ROADMAP.md:143","95be0240c3cf3aec6511f94f080c5a257cbfb65aef466d245abf59eff649d3d0"
"RF.1.1a","sentence-shapes","sentence-shapes","1st Grade","RF.1.1a","Foundational Skills","G1.U1","1","roadmap-standard-row-not-approved-lesson-order","I can spot what makes a sentence just right!","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; sentence-shapes-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sentence-shapes.ts; docs/UNIT_ROADMAP.md:80","73dc8e597dc6ee8ed917eaf4ea639be122cfdbdcd32a32ff7f988779ee4e6cac"
"RF.1.2b","blend-builders","blend-builders","1st Grade","RF.1.2b","Foundational Skills","G1.U1","2","roadmap-standard-row-not-approved-lesson-order","I can blend sounds into whole words, even words with tricky blends!","true","true","unknown","unknown","unknown","false","true","blend-builders-quiz; g1-final; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/blend-builders.ts; docs/UNIT_ROADMAP.md:81","9e1d9853698a743535d66dfa68230e853955e65ea40d106cc034298d125f5c52"
"RF.1.2c","sound-spotters","sound-spotters","1st Grade","RF.1.2c","Foundational Skills","G1.U1","3","roadmap-standard-row-not-approved-lesson-order","I can find the first, middle vowel, and last sounds in words, even words with blends!","true","true","unknown","unknown","unknown","false","true","g1-unit-1-exam; sound-spotters-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-spotters.ts; docs/UNIT_ROADMAP.md:82","2003cc154d458a1f11d68d5220b8c8779d62bc04612dc019fd50b0721c474503"
