"catalogStandard","canonicalLessonId","slug","grade","declaredStandards","domain","unit","positionWithinUnit","positionMeaning","objective","exists","registered","technicalQa","curriculumApproval","productionRelease","planningEligible","roadmapCheckmark","checkpoints","relationship","mismatches","combinedStandardCandidates","sources","sourceVersion"
"RF.K.1d","letter-pairs","letter-pairs","Kindergarten","RF.K.1d","Foundational Skills","K.U1","4","roadmap-standard-row-not-approved-lesson-order","Every big letter has a little letter partner, and you can match them!","true","true","unknown","unknown","unknown","false","true","k-final; letter-pairs-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/letter-pairs.ts; docs/UNIT_ROADMAP.md:24","6e914a006a6163477ee2a75044d7108e37d6092257b2109685114e3be0e2300e"
"RF.K.2b","syllable-beats","syllable-beats","Kindergarten","RF.K.2b","Foundational Skills","K.U1","6","roadmap-standard-row-not-approved-lesson-order","I can clap and count the beats in words!","true","true","unknown","unknown","unknown","false","true","syllable-beats-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/syllable-beats.ts; docs/UNIT_ROADMAP.md:26","11dbd17259aae4f1d61138646ed757cd472b895cc35b2fe0be754a9330be3d13"
"RF.K.2c","sound-sliders","sound-sliders","Kindergarten","RF.K.2c","Foundational Skills","K.U2","1","roadmap-standard-row-not-approved-lesson-order","I can slide sounds together to make a word and break a word into its parts!","true","true","unknown","unknown","unknown","false","true","k-final; sound-sliders-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-sliders.ts; docs/UNIT_ROADMAP.md:37","c472352fd58a4cfeea05ad3c1740d7aae0b2cd22fcbfa2f62556b39bde3c19c0"
"RF.K.2d","sound-detectives","sound-detectives","Kindergarten","RF.K.2d","Foundational Skills","K.U2","2","roadmap-standard-row-not-approved-lesson-order","You will become a super sound detective and find sounds in words.","true","true","unknown","unknown","unknown","false","true","k-final; sound-detectives-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-detectives.ts; docs/UNIT_ROADMAP.md:38","f4afeeabd69403ca5b4b7950810ba07a9ea25ed2d584a69bf6945cc7941bf34e"
"RF.K.2e","word-machines","word-machines","Kindergarten","RF.K.2e","Foundational Skills","K.U2","3","roadmap-standard-row-not-approved-lesson-order","You will learn to change one sound in a word to make a brand-new word!","true","true","unknown","unknown","unknown","false","true","k-final; unit-2-exam; word-machines-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-machines.ts; docs/UNIT_ROADMAP.md:39","0aa1e17d7f3e2dee6ad3f3935a228fc46466f6618da02292b3e220fde59ac53c"
"RF.K.3a","letter-sounds","letter-sounds","Kindergarten","RF.K.3a","Foundational Skills","K.U2","4","roadmap-standard-row-not-approved-lesson-order","You will learn to say the most common sound for consonant letters!","true","true","unknown","unknown","unknown","false","true","k-final; letter-sounds-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/letter-sounds.ts; docs/UNIT_ROADMAP.md:40","5fb22d354d62970d45e8c7843d9892b328e2c2f104e88f83c7adb9aa8529aba4"
"RF.K.3b","silent-e","silent-e","Kindergarten","RF.K.3b","Foundational Skills","K.U1","7","roadmap-standard-row-not-approved-lesson-order","A silent E at the end is quiet, but it makes the vowel say its name.","true","true","unknown","unknown","unknown","false","true","","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/silent-e.ts; docs/UNIT_ROADMAP.md:27","ac0b5b75d74567b626861cb7e586a14e487658a7bf847a7282480422fe27f94c"
"RF.K.3c","snap-words","snap-words","Kindergarten","RF.K.3c","Foundational Skills","K.U2","5","roadmap-standard-row-not-approved-lesson-order","You will learn to read special words super fast, like a snap!","true","true","unknown","unknown","unknown","false","true","k-final; snap-words-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/snap-words.ts; docs/UNIT_ROADMAP.md:41","42050406a917e77021d03960b94d57d8bdfaa920ba3a0d5a73d2db6f4c7135a7"
"RF.K.3d","look-close","look-close","Kindergarten","RF.K.3d","Foundational Skills","K.U3","1","roadmap-standard-row-not-approved-lesson-order","You will learn to look closely at words and find the letter that changes them.","true","true","unknown","unknown","unknown","false","true","k-final; look-close-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/look-close.ts; docs/UNIT_ROADMAP.md:50","bb921a68450b70ef3b709590e712e0fdb09ffed5bc5e2276db50ce4942c83613"
"RF.K.4","my-first-read","my-first-read","Kindergarten","RF.K.4","Foundational Skills","K.U3","2","roadmap-standard-row-not-approved-lesson-order","I can read a story and understand what happens!","true","true","unknown","unknown","unknown","false","true","my-first-read-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/my-first-read.ts; docs/UNIT_ROADMAP.md:51","ac5152214f436060bb6205f0d786dfa40829da145b4c8cc69b740ffd7525bb75"
"K.L.1","naming-doing-words","naming-doing-words","Kindergarten","K.L.1","Language","K.U2","8","roadmap-standard-row-not-approved-lesson-order","I can sort naming words from doing words, and make words mean more than one!","true","true","unknown","unknown","unknown","false","true","k-final; naming-doing-words-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/naming-doing-words.ts; docs/UNIT_ROADMAP.md:44","2309698b16a6d497d6ad145904887db627c73fa12251fefbd560ed785fbd1d9b"
"K.L.2","capital-start","capital-start","Kindergarten","K.L.2","Language","K.U3","8","roadmap-standard-row-not-approved-lesson-order","I can make sentences start big and stop strong!","true","true","unknown","unknown","unknown","false","true","capital-start-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/capital-start.ts; docs/UNIT_ROADMAP.md:57","18485b9e652bf493f4468641ba123e636e06b8aef5317f172ba895e3851239f0"
"K.L.4","double-duty-words","double-duty-words","Kindergarten","K.L.4","Language","K.U3","6","roadmap-standard-row-not-approved-lesson-order","I can learn that some words have two jobs!","true","true","unknown","unknown","unknown","false","true","double-duty-words-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/double-duty-words.ts; docs/UNIT_ROADMAP.md:55","35b9a10d95dbe4c97f18074865b0419441e7e557036c523da112c440bd9d5cf0"
"K.L.5","word-families-friends","word-families-friends","Kindergarten","K.L.5","Language","K.U3","7","roadmap-standard-row-not-approved-lesson-order","You will sort words, find word buddies, and connect words to real life!","true","true","unknown","unknown","unknown","false","true","unit-3-exam; word-families-friends-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-families-friends.ts; docs/UNIT_ROADMAP.md:56","265d63f0a8778d7f661eb34c628c42e6b4bccc165b80d5087d9216279dd4f6e9"
"K.L.6","big-kid-words","big-kid-words","Kindergarten","K.L.6","Language","K.U1","12","roadmap-standard-row-not-approved-lesson-order","You will learn and use position words to tell where things are.","true","true","unknown","unknown","unknown","false","true","big-kid-words-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/big-kid-words.ts; docs/UNIT_ROADMAP.md:32","23f20ec2fea4d7dcda79e882840bab9848c9dc8866ed82a92914d426dbdb59fa"
"RL.1.1","ask-it-find-it","ask-it-find-it","1st Grade","RL.1.1","Literature","G1.U1","4","roadmap-standard-row-not-approved-lesson-order","I can ask a question about a story and find the answer in its words.","true","true","unknown","unknown","unknown","false","true","ask-it-find-it-quiz; g1-final; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/ask-it-find-it.ts; docs/UNIT_ROADMAP.md:83","4dda5835715eea123e68ecd446cbcb87c6e64c701db22cd7ae0d4d9ae189674f"
"RL.1.2","story-message","story-message","1st Grade","RL.1.2","Literature","G1.U1","5","roadmap-standard-row-not-approved-lesson-order","I can retell a story in order and find its central message.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; story-message-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-message.ts; docs/UNIT_ROADMAP.md:84","ece13e9e478deefd7e28a8bba483f5ee94b7c505d5b0a6dee1b3cb6a35048645"
"RL.1.3","story-parts","story-parts","1st Grade","RL.1.3","Literature","G1.U2","4","roadmap-standard-row-not-approved-lesson-order","I can describe a story's characters, setting, and major events using key details.","true","true","unknown","unknown","unknown","false","true","g1-unit-2-exam; story-parts-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-parts.ts; docs/UNIT_ROADMAP.md:98","6a1bfd1398cc2c7bc5b4df2df59e84bb25eab22c98c92c22e2ecc798c3db6bc4"
"RL.1.4","word-pictures","word-pictures","1st Grade","RL.1.4","Literature","G1.U2","5","roadmap-standard-row-not-approved-lesson-order","I can find words in poems and stories that appeal to the senses or show feelings.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-2-exam; word-pictures-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-pictures.ts; docs/UNIT_ROADMAP.md:99","e0c2a3b2cbf0ec9fa17196923805fd8d80223796c0291996f6986fa52a4f32a2"
"RL.1.5","two-kinds-of-books","two-kinds-of-books","1st Grade","RL.1.5","Literature","G1.U3","4","roadmap-standard-row-not-approved-lesson-order","I can explain how books that tell stories and books that give information are different.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; two-kinds-of-books-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-kinds-of-books.ts; docs/UNIT_ROADMAP.md:113","6c1db54888072279c7970aedc9a61522cd46762f43364d39fe372eb81af197ea"
"RL.1.6","whos-telling-it","whos-telling-it","1st Grade","RL.1.6","Literature","G1.U3","5","roadmap-standard-row-not-approved-lesson-order","I can find out who is telling the story at each part.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-3-exam; whos-telling-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/whos-telling-it.ts; docs/UNIT_ROADMAP.md:114","d06eb557b8283ec55aa023a7fcb8bddd72f7d4167c4d134823b7366e02fabdf7"
"RL.1.7","picture-detectives","picture-detectives","1st Grade","RL.1.7","Literature","G1.U4","4","roadmap-standard-row-not-approved-lesson-order","I can use the words and the picture together to describe a story.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; picture-detectives-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-detectives.ts; docs/UNIT_ROADMAP.md:128","51c70b01f314f5adbf4af1b4616185cb3ef8f4feb0447bad6f0ff692fbe6cb1e"
"RL.1.9","same-different-stories","same-different-stories","1st Grade","RL.1.9","Literature","G1.U4","5","roadmap-standard-row-not-approved-lesson-order","I can compare and contrast what happens to two characters and how each one feels and acts.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; same-different-stories-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/same-different-stories.ts; docs/UNIT_ROADMAP.md:129","c24876d63ffe285fc5842efa5f389e73c318cf68ffdebe044b17bb9b638a0b92"
"RI.1.1","fact-questions","fact-questions","1st Grade","RI.1.1","Informational","G1.U1","6","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about facts in a book.","true","true","unknown","unknown","unknown","false","true","fact-questions-quiz; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-questions.ts; docs/UNIT_ROADMAP.md:85","49611310a8e1128d90cc3f8944672e246ac2f4cbeeffaf99808c56e493b0c095"
"RI.1.2","topic-spotter","topic-spotter","1st Grade","RI.1.2","Informational","G1.U1","7","roadmap-standard-row-not-approved-lesson-order","I can name the main topic of a fact book and retell its key details in order.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; topic-spotter-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/topic-spotter.ts; docs/UNIT_ROADMAP.md:86","77c3619fd857ab13bb1d830c7532ec84d20dce00cb78f43820f5cddad1805fa5"
"RI.1.3","fact-links","fact-links","1st Grade","RI.1.3","Informational","G1.U2","6","roadmap-standard-row-not-approved-lesson-order","I can tell how two facts in a book link together.","true","true","unknown","unknown","unknown","false","true","fact-links-quiz; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-links.ts; docs/UNIT_ROADMAP.md:100","fb4a047d2e7abac5cb25de5c6803979e61b59012adbe5ee9aa89e968698bf775"
"RI.1.4","fact-word-finder","fact-word-finder","1st Grade","RI.1.4","Informational","G1.U2","7","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about new words in a fact book.","true","true","unknown","unknown","unknown","false","true","fact-word-finder-quiz; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-word-finder.ts; docs/UNIT_ROADMAP.md:101","057cdca066e14b284493cf34ab2d95da7832c734b181cca462f602a7ebb474e3"
"RI.1.5","text-feature-finders","text-feature-finders","1st Grade","RI.1.5","Informational","G1.U3","6","roadmap-standard-row-not-approved-lesson-order","I can use text features to find facts fast.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-3-exam; text-feature-finders-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/text-feature-finders.ts; docs/UNIT_ROADMAP.md:115","32849656636589124bffaff0545e6244355603171dfab2923591344fcff3f703"
"RI.1.6","picture-or-words","picture-or-words","1st Grade","RI.1.6","Informational","G1.U3","7","roadmap-standard-row-not-approved-lesson-order","I can tell if a fact came from the words or the picture.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; picture-or-words-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-or-words.ts; docs/UNIT_ROADMAP.md:116","4152505bee33f0538378724e667d65e1a66c57282dcbfdbdd91c73ae9a153e17"
"RI.1.7","idea-illustrators","idea-illustrators","1st Grade","RI.1.7","Informational","G1.U4","6","roadmap-standard-row-not-approved-lesson-order","I can use the words and the picture to describe what a fact page teaches.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; idea-illustrators-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/idea-illustrators.ts; docs/UNIT_ROADMAP.md:130","d74a21308c3b737b573c9a34d36abec806bef7b8d407b8be6c13b12621abb2a0"
"RI.1.8","prove-it","prove-it","1st Grade","RI.1.8","Informational","G1.U4","7","roadmap-standard-row-not-approved-lesson-order","I can find the author's point and the reasons that prove it.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-4-exam; prove-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/prove-it.ts; docs/UNIT_ROADMAP.md:131","c7e94ba16653a10b88635808a091fce0f697a66a18fa349bed945f3285c64027"
"RI.1.9","two-texts-compare","two-texts-compare","1st Grade","RI.1.9","Informational","G1.U5","4","roadmap-standard-row-not-approved-lesson-order","I can find facts two books share and facts only one book teaches.","true","true","unknown","unknown","unknown","false","true","g1-unit-5-exam; two-texts-compare-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-texts-compare.ts; docs/UNIT_ROADMAP.md:143","0914821d1fcd29c2c31264ff672a5e1518731f61dfa469375db54746a10bda0f"
"RF.1.1a","sentence-shapes","sentence-shapes","1st Grade","RF.1.1a","Foundational Skills","G1.U1","1","roadmap-standard-row-not-approved-lesson-order","I can spot what makes a sentence just right!","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; sentence-shapes-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sentence-shapes.ts; docs/UNIT_ROADMAP.md:80","5bf650694430291e4311e59e9e17f7afc5fa91b80afeef77fecc371241538065"
"RF.1.2b","blend-builders","blend-builders","1st Grade","RF.1.2b","Foundational Skills","G1.U1","2","roadmap-standard-row-not-approved-lesson-order","I can blend sounds into whole words, even words with tricky blends!","true","true","unknown","unknown","unknown","false","true","blend-builders-quiz; g1-final; g1-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/blend-builders.ts; docs/UNIT_ROADMAP.md:81","0bb7be80efa8f6be37dfb7299de0b2593267294c5134507cca84bbdb99693645"
"RF.1.2c","sound-spotters","sound-spotters","1st Grade","RF.1.2c","Foundational Skills","G1.U1","3","roadmap-standard-row-not-approved-lesson-order","I can find the first, middle vowel, and last sounds in words, even words with blends!","true","true","unknown","unknown","unknown","false","true","g1-unit-1-exam; sound-spotters-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-spotters.ts; docs/UNIT_ROADMAP.md:82","719c2eb00e08a241623f0ea05f6e78818b541e62fff3f1d416dc707e6234974f"
