standard_id,question_number,passage_text,question_prompt,choice_1,choice_2,choice_3,choice_4,correct_answer,hint,difficulty,QA_Status,QA_Notes,Suggested_Rewrite
RL.K.7,4,"🐈 The story says: ""The cat hid somewhere in the room.""","If the picture shows a cat under the bed, what did the picture help us learn?",The cat's name,WHERE the cat was hiding,What the cat ate,The cat's favorite toy,WHERE the cat was hiding,The words say 'somewhere' — the picture shows us exactly where!,2,,,
RL.K.7,5,,🏠 WHY do books have pictures?,To make the pages heavy,To help us understand the story better,To hide the words,Pictures are not important,To help us understand the story better,Think about how pictures help you when you read a book!,1,,,
RL.K.9,1,🐻🐱 Bear likes honey. Cat likes milk.,How are Bear and Cat DIFFERENT?,They are both animals.,They like different foods.,They both live in the forest.,They are the same size.,They like different foods.,Different means NOT the same. What do they each like to eat or drink?,1,,,
RL.K.9,2,"🐰🐿️ Rabbit and Squirrel both live in the forest. Rabbit hops, but Squirrel climbs trees.",How are they ALIKE?,They both climb trees.,They both hop.,They both live in the forest.,They both fly.,They both live in the forest.,Alike means the SAME. What do they both do or have?,1,,,
RL.K.9,3,👧👦 Story 1: Maya was scared of the dark but she was brave and slept with no night light. Story 2: Tom was scared of the dark and asked for a night light.,How are Maya and Tom ALIKE?,They both used a night light.,They were both scared of the dark.,They were both brave.,They both slept in the dark.,They were both scared of the dark.,What feeling did BOTH characters share?,2,,,
RL.K.9,4,"🐷🐺 In the story, the pigs build houses. The wolf tries to blow them down.",The pigs and the wolf are DIFFERENT because...,"The pigs build, the wolf destroys.",They all build houses.,They are all friends.,The wolf is small and the pigs are big.,"The pigs build, the wolf destroys.",Think about what each character DOES in the story.,2,,,
RL.K.9,5,🧒🧒 Zoe lost her toy and cried. James lost his toy and looked everywhere until he found it.,How did Zoe and James handle their problem DIFFERENTLY?,"Zoe cried, James searched for his toy.",They both cried.,They both looked for their toys.,Neither of them cared.,"Zoe cried, James searched for his toy.",What did each kid DO when they lost their toy?,2,,,
RI.K.1,1,"🐝 Read: ""Bees live in hives. They make honey. Bees can sting if they are scared.""",What do bees make?,Milk,Honey,Bread,Juice,Honey,Look at the second sentence!,1,,,
RI.K.1,2,"🌍 Read: ""Earth is the planet where we live. It has land, water, and air. Most of Earth is covered by water.""",What covers MOST of Earth?,Land,Air,Water,Trees,Water,Read the last sentence carefully!,1,,,
RI.K.1,3,"🦷 Read: ""You should brush your teeth two times a day. This keeps your teeth clean and healthy.""",How many times a day should you brush?,One time,Two times,Three times,Five times,Two times,The first sentence tells you the number!,1,,,
RI.K.1,4,"🐧 Read: ""Penguins are birds that cannot fly. They are great swimmers. They live in cold places.""",Where do penguins live?,In hot deserts,In cold places,In the jungle,On the moon,In cold places,Check the last sentence for the answer!,1,,,
RI.K.1,5,"🌱 Read: ""Plants need three things to grow: sunlight, water, and soil. Without these, a plant will not survive.""",Which is NOT something plants need?,Sunlight,Water,Candy,Soil,Candy,The passage lists exactly three things plants need. Which choice is NOT one of them?,2,,,
RI.K.2,1,"🍎 Read: ""Apples can be red, green, or yellow. They grow on trees. People eat apples raw, in pies, and as applesauce.""",What is this passage MOSTLY about?,Trees,Colors,Apples,Pies,Apples,The main topic is what the WHOLE passage is about — every sentence talks about...,1,,,
RI.K.2,2,"🐶 Read: ""Dogs are great pets. They can learn tricks. Dogs need food, water, and lots of love.""",What is the MAIN TOPIC?,Cats,Tricks,Dogs,Food,Dogs,Every sentence is about the same animal. Which one?,1,,,
RI.K.2,3,"☀️ Read: ""The sun gives us light and heat. Plants need the sun to grow. Without the sun, Earth would be very cold and dark.""",What is this passage mostly about?,Plants,The moon,The sun,Winter,The sun,What is mentioned in EVERY sentence?,1,,,
RI.K.2,4,"🚒 Read: ""Firefighters help keep us safe. They put out fires and rescue people. They drive big red trucks.""",Which is a KEY DETAIL from this passage?,Firefighters eat lunch.,Firefighters rescue people.,Firefighters like cats.,Firefighters go to school.,Firefighters rescue people.,A key detail is something the passage actually SAYS.,2,,,
RI.K.2,5,"🦋 Read: ""Butterflies start as tiny eggs. Then they become caterpillars. Finally, they grow wings and fly!""",What is the BEST title for this passage?,How Dogs Grow,How Butterflies Change,My Pet Caterpillar,Flying Birds,How Butterflies Change,A good title tells you what the whole passage is about!,2,,,
RI.K.3,1,"🌧️ Read: ""It rained a lot. The flowers grew tall.""",Why did the flowers grow tall?,Because it was sunny,Because it rained a lot,Because someone picked them,Because it snowed,Because it rained a lot,What happened FIRST that caused the flowers to grow?,1,,,
RI.K.3,2,"🧊 Read: ""When water gets very cold, it turns into ice. When ice gets warm, it melts back into water.""",What happens when ice gets warm?,It gets colder.,It melts into water.,It turns into snow.,Nothing happens.,It melts into water.,The second sentence tells you what happens!,1,,,
RI.K.3,3,"🐔 Read: ""First, the hen lays an egg. Then the egg cracks open. A baby chick comes out!""",What happens AFTER the egg cracks?,The hen lays an egg.,A baby chick comes out.,The egg disappears.,The hen flies away.,A baby chick comes out.,"Follow the order: first, then, finally...",1,,,
RI.K.3,4,"😴 Read: ""Bears eat a LOT of food in the fall. Then they sleep all winter long. This is called hibernation.""",WHY do bears eat a lot in the fall?,Because they are bored,To get ready for their long winter sleep,Because the food tastes bad,Because they like cooking,To get ready for their long winter sleep,Think about what comes NEXT — they sleep all winter. They need energy!,2,,,
RI.K.3,5,"🌻 Read: ""A seed needs water and sun. First it grows roots. Then a stem pops up. Finally, a flower blooms!""",What happens BEFORE the flower blooms?,The seed disappears,A stem pops up,The flower falls,It snows,A stem pops up,Look at the order — what comes right before 'finally'?,2,,,
RI.K.4,1,"🦎 Read: ""A chameleon is a REPTILE. Reptiles are animals with scales that are cold-blooded.""",What is a REPTILE?,A type of plant,An animal with scales,A type of food,A big rock,An animal with scales,The sentence right after tells you what a reptile is!,1,,,
RI.K.4,2,"🌋 Read: ""A volcano ERUPTS when hot lava shoots out of the top.""",What does ERUPTS mean?,Goes to sleep,Explodes or shoots out,Turns cold,Disappears,Explodes or shoots out,The sentence says lava 'shoots out' — that's what erupting is!,2,,,
RI.K.4,3,"🏔️ Read: ""The mountain peak was covered in snow. The peak is the very top of the mountain.""",What is a PEAK?,The bottom of a mountain,The very top of a mountain,A river near a mountain,A tree on a mountain,The very top of a mountain,The second sentence tells you exactly what a peak is!,1,,,
RI.K.4,4,"🐋 Read: ""Whales MIGRATE to warmer water in the winter. They travel very far to find warm places.""",What does MIGRATE mean?,Stay in one place,Travel to a different place,Sleep underwater,Eat a big meal,Travel to a different place,The next sentence says they 'travel very far' — that's what migrate means!,2,,,
RI.K.4,5,"🌊 Read: ""The ocean is full of MARINE animals like fish, dolphins, and sea turtles.""",What does MARINE mean?,Land animals,Sky animals,Ocean or sea animals,Farm animals,Ocean or sea animals,"All the examples (fish, dolphins, sea turtles) live in the ocean!",2,,,
RI.K.5,1,,📕 Where do you find the TITLE of a book?,On the last page,On the front cover,Inside the back cover,On the spine only,On the front cover,The title is the big name of the book — you see it right away when you pick up a book!,1,,,
RI.K.5,2,,📗 The BACK COVER of a book usually has...,The whole story,A short description of what the book is about,Nothing at all,The table of contents,A short description of what the book is about,Flip the book over — there's usually a little blurb that tells you about the book!,1,,,
RI.K.5,3,,📖 The TITLE PAGE is...,The very last page,One of the first pages inside the book with the title and author,The glossary,The index,One of the first pages inside the book with the title and author,Open the book — one of the first things you see is the title page!,2,,,
RI.K.5,4,,📚 Which part of the book do you see FIRST when it's on a shelf?,The back cover,The title page,The front cover,The last chapter,The front cover,Books face forward on a shelf — what's facing you?,1,,,
RI.K.5,5,,📘 You want to know what a book is about BEFORE you read it. Where would you look?,The middle of the book,The front cover and back cover,Page 50,The very last page,The front cover and back cover,"The cover gives you the title and a picture, and the back cover tells you more!",2,,,
RI.K.6,1,"📖 A book about dinosaurs says: ""Written by Dr. Sara Chen.""",Dr. Sara Chen is the...,Illustrator,Author,Dinosaur,Teacher,Author,'Written by' means this person wrote the words!,1,,,
RI.K.6,2,,"🎨 In an informational book, the ILLUSTRATOR...",Writes all the facts,Draws pictures and diagrams to help explain,Reads the book out loud,Sells the book at a store,Draws pictures and diagrams to help explain,"In a fact book, pictures and diagrams help you understand. Who makes those?",1,,,
RI.K.6,3,"📚 A book about space says: ""By Astronaut Mike Collins. Photos by NASA.""",Who wrote the words?,NASA,Astronaut Mike Collins,The reader,The printer,Astronaut Mike Collins,'By' tells you who the author is!,2,,,
RI.K.6,4,,"📷 In a book about animals, there are real photographs. The person who took the photos is like an...",Author,Illustrator or photographer,Character in the story,Librarian,Illustrator or photographer,Photos serve the same purpose as drawings — they show you what things look like!,2,,,
RI.K.6,5,,✏️ Why do informational books need BOTH an author AND an illustrator?,They don't — only stories need both.,"The author writes facts, and the illustrator draws pictures to help explain.",The illustrator writes and the author draws.,Only one person is needed.,"The author writes facts, and the illustrator draws pictures to help explain.","Words tell you facts, pictures help you see and understand them!",2,,,
RI.K.7,1,"🦁 A book says: ""Lions have sharp teeth and big manes."" The picture shows a lion with a fluffy mane.",How does the picture help?,It shows what a mane looks like.,It shows a different animal.,It doesn't help at all.,It shows a lion sleeping.,It shows what a mane looks like.,"If you didn't know what a mane was, the picture would show you!",1,,,
RI.K.7,2,🗺️ A book about the United States has a MAP showing all 50 states.,What does the map help you understand?,What food people eat,Where the states are located,How many people live there,What the weather is like,Where the states are located,Maps show WHERE things are!,2,,,
RI.K.7,3,"🐛 The text says: ""A caterpillar becomes a butterfly."" The picture shows: Egg → Caterpillar → Cocoon → Butterfly.",The picture shows...,Just one step,All the steps in order,Only the butterfly,Something different from the text,All the steps in order,The picture gives you MORE information — it shows each step!,2,,,
RI.K.7,4,🌡️ A book about weather has a picture of a thermometer.,Why would the author include this picture?,Because it looks pretty,To help you understand how we measure temperature,To fill empty space,Because the book is about thermometers,To help you understand how we measure temperature,Pictures in fact books are there to help explain ideas!,2,,,
RI.K.7,5,"🐾 The text says: ""Dogs come in many sizes."" The picture shows a tiny chihuahua next to a huge Great Dane.",What does the picture help you see?,That all dogs are the same size,How different dog sizes can be,That cats are bigger than dogs,That dogs can fly,How different dog sizes can be,The picture puts two very different-sized dogs side by side so you can compare!,1,,,
RI.K.8,1,"🥦 Read: ""You should eat vegetables. They have vitamins that keep you healthy and strong.""",WHY does the author say you should eat vegetables?,Because they taste like candy.,Because they have vitamins that keep you healthy.,Because they are pretty colors.,Because your friends eat them.,Because they have vitamins that keep you healthy.,Look for the REASON the author gives — it comes after the point.,1,,,
RI.K.8,2,"😴 Read: ""Kids need lots of sleep. Sleep helps your body grow and helps your brain learn new things.""",What REASONS does the author give for why kids need sleep?,Sleep is boring.,It helps your body grow and your brain learn.,You need sleep to watch TV.,Sleep makes you hungry.,It helps your body grow and your brain learn.,The second sentence gives you the reasons!,1,,,
RI.K.8,3,"🚲 Read: ""Helmets are important. They protect your head if you fall off your bike.""",What reason does the author give for wearing a helmet?,Helmets look cool.,They protect your head if you fall.,Everyone has one.,They keep you warm.,They protect your head if you fall.,A reason explains WHY something is true or important.,1,,,
RI.K.8,4,"🐕 Read: ""Dogs make great pets. They are loyal, they love to play, and they can learn tricks.""",How many REASONS does the author give?,1 reason,2 reasons,3 reasons,4 reasons,3 reasons,"Count them: loyal, love to play, and can learn tricks. That's 1, 2, 3!",2,,,
RI.K.8,5,"💧 Read: ""Drinking water is good for you. Water keeps your body working, helps you think clearly, and gives you energy.""",Which is NOT a reason the author gives?,Water keeps your body working.,Water makes you taller.,Water helps you think clearly.,Water gives you energy.,Water makes you taller.,Read the passage again — which answer is NOT mentioned?,2,,,
RI.K.9,1,"📖 Book 1: ""Cats are soft and like to sleep a lot."" 📖 Book 2: ""Cats are playful and love to chase toys.""",Both books are about...,Dogs,Cats,Birds,Fish,Cats,What topic do BOTH books share?,1,,,
RI.K.9,2,"📖 Book 1 says: ""Rain comes from clouds."" 📖 Book 2 says: ""Rain helps flowers grow.""",How are these books DIFFERENT?,They are about different topics.,Book 1 tells WHERE rain comes from; Book 2 tells WHAT rain does.,They say the exact same thing.,Neither is about rain.,Book 1 tells WHERE rain comes from; Book 2 tells WHAT rain does.,"Both books are about rain, but each tells you something different about it!",2,,,
RI.K.9,3,"📖 Book 1: ""The sun is very hot and gives us light."" 📖 Book 2: ""The sun helps plants grow by giving them energy.""",What do BOTH books agree on?,The sun is cold.,The sun is important and gives things to Earth.,The sun is a planet.,Plants don't need the sun.,The sun is important and gives things to Earth.,"Both books talk about what the sun gives — light, energy, growth!",2,,,
RI.K.9,4,"📖 Book 1: ""Dogs need water, food, and walks every day."" 📖 Book 2: ""Dogs can be trained to sit, stay, and shake.""",Book 1 is about CARING for dogs. Book 2 is about...,Caring for dogs,Training dogs,Wild dogs,Cats,Training dogs,"Sit, stay, and shake are all tricks — that's training!",2,,,
RI.K.9,5,"📖 Book 1: ""Butterflies have colorful wings and drink nectar from flowers."" 📖 Book 2: ""Butterflies start as caterpillars and go through metamorphosis.""",What is SIMILAR about both books?,They are both about butterflies.,They both talk about caterpillars.,They both talk about wings.,They are about different insects.,They are both about butterflies.,"Even though they share different facts, they're both about the same creature!",1,,,
RF.K.1a,1,,"👉 When we read a book in English, we start on which side?",The right side,The left side,The bottom,The middle,The left side,We read from LEFT to right!,1,,,
RF.K.1a,2,,"📖 When you finish reading a line of words, where do you look next?",Back to the same line,Down to the next line on the left side,To the right of the line,Anywhere you want,Down to the next line on the left side,Your eyes sweep down and back to the left to start the next line!,1,,,
RF.K.1a,3,,"📚 When you finish a page, what do you do?",Close the book,Turn to the next page,Start over from the beginning,Skip to the last page,Turn to the next page,We read page by page — one after another!,1,,,
RF.K.1a,4,,➡️ Which arrow shows the direction we READ words?,⬅️ Right to left,➡️ Left to right,⬇️ Bottom to top,⬆️ Top to bottom only,➡️ Left to right,"In English, our eyes go from the LEFT side to the RIGHT side!",1,,,
RF.K.1a,5,,📄 Where do you START reading on a page?,Bottom right corner,Top left corner,Bottom left corner,Top right corner,Top left corner,We start at the TOP and on the LEFT — then go right and down!,2,,,
RF.K.1b,1,,"🗣️ When you SAY the word ""cat,"" how do we WRITE it?",k-a-t,c-a-t,c-t-a,k-t-a,c-a-t,"The word 'cat' uses the letters C, A, and T in that order!",1,,,
RF.K.1b,2,,✏️ Words are made up of...,Numbers,Letters,Colors,Shapes,Letters,"A, B, C, D... we use these to build words!",1,,,
RF.K.1b,3,,"🗣️ You say the word ""dog."" Which letters spell that word?",b-o-g,d-o-g,d-o-t,g-o-d,d-o-g,Sound it out: /d/ - /o/ - /g/. What letters make those sounds?,1,,,
RF.K.1b,4,,"📝 If you change the letters in a word, what happens?",Nothing changes,You get a different word or a nonsense word,The word stays the same,The letters disappear,You get a different word or a nonsense word,C-A-T is 'cat' but C-A-P is 'cap' — different letters make different words!,2,,,
RF.K.1b,5,,🔤 Every word we say can also be...,Drawn as a picture only,Written with letters,"Only spoken, never written",Made with numbers,Written with letters,We can write down anything we say using letters!,1,,,
RF.K.1c,1,,📝 Which sentence uses spaces CORRECTLY?,Ilikedogs,I like dogs,I l i k e d o g s,Ilike dogs,I like dogs,Each WORD gets its own space between it and the next word!,1,,,
RF.K.1c,2,,✋ Why do we put SPACES between words?,To waste paper,So we can tell where one word ends and the next begins,Because spaces are letters too,To make writing slower,So we can tell where one word ends and the next begins,"Without spaces, all the words would smush together!",1,,,
RF.K.1c,3,,"🔍 Look: ""thecat sat"" — How many words is this SUPPOSED to be?",1 word,2 words,3 words,4 words,3 words,It should be: the cat sat — that's 3 separate words!,2,,,
RF.K.1c,4,,"📏 How many WORDS are in this sentence? ""I am happy.""",1,2,3,7,3,Count the groups of letters separated by spaces: I / am / happy.,1,,,
RF.K.1c,5,,"✏️ You're writing ""My dog is big."" Where do the spaces go?",My dog is big (between each word),Mydogisbig (no spaces),M y d o g i s b i g (between each letter),My dogis big (only one space),My dog is big (between each word),Put a space between each word — not between each letter!,1,,,
RF.K.1d,1,,🔤 Which is the UPPERCASE (capital) version of the letter 'a'?,a,A,B,d,A,Uppercase letters are BIG letters — the capital version of 'a' is...,1,,,
RF.K.1d,2,,🔡 Which is the LOWERCASE (small) version of the letter 'G'?,G,g,q,j,g,Lowercase letters are small letters. The small 'G' looks like 'g.',1,,,
RF.K.1d,3,,👀 Which pair shows the SAME letter in uppercase and lowercase?,B and d,M and m,P and q,R and s,M and m,One should be the big version and the other the small version of the same letter!,2,,,
RF.K.1d,4,,🔠 What letter comes AFTER 'M' in the alphabet?,L,N,O,K,N,"Sing the alphabet song: ...K, L, M, __, O...",1,,,
RF.K.1d,5,,🔤 How many letters are in the English alphabet?,20,24,26,30,26,"From A to Z, there are 26 letters!",2,,,
RF.K.2a,1,,"🎵 Which word RHYMES with ""cat""?",Dog,Hat,Cup,Sun,Hat,Rhyming words sound the same at the END. Cat... hat... they both end in -at!,1,,,
RF.K.2a,2,,"🎶 Which word RHYMES with ""sun""?",Moon,Fun,Sat,Bed,Fun,Sun and ___ both end with the -un sound!,1,,,
RF.K.2a,3,,"🎵 Which word does NOT rhyme with ""ball""?",Tall,Wall,Dog,Fall,Dog,"Ball, tall, wall, fall all end in -all. Which one doesn't?",2,,,
RF.K.2a,4,,🎶 Which pair of words RHYMES?,Big — pig,Cat — dog,Red — blue,Top — sun,Big — pig,Rhyming words end with the same sound. Which pair sounds alike at the end?,1,,,
RF.K.2a,5,,"🎵 Pick a word that rhymes with ""hop.""",Hot,Stop,Hug,Hit,Stop,Hop ends with -op. Which other word ends with -op?,2,,,
RF.K.2b,1,,"👏 How many SYLLABLES (claps) are in the word ""cat""?",1,2,3,4,1,Say it and clap: CAT. Just one clap!,1,,,
RF.K.2b,2,,"👏 How many SYLLABLES (claps) are in the word ""banana""?",1,2,3,4,3,Clap it out: ba-NA-na. That's 3 claps!,1,,,
RF.K.2b,3,,"👏 How many SYLLABLES are in the word ""butterfly""?",1,2,3,4,3,Clap it: BUT-ter-fly. Count the claps!,2,,,
RF.K.2b,4,,👏 Which word has 2 syllables?,Dog,Apple,Cat,Fish,Apple,"Clap each word: dog (1), ap-ple (2), cat (1), fish (1).",1,,,
RF.K.2b,5,,"👏 Put these syllables together: ""rain"" + ""bow."" What word is it?",Raindrop,Rainbow,Rainfall,Raincoat,Rainbow,Blend the parts together: rain + bow = ?,1,,,
RF.K.2c,1,,🔊 Blend these sounds together: /c/ + /at/. What word is it?,Bat,Cat,Sat,Mat,Cat,Put the /c/ sound in front of -at!,1,,,
RF.K.2c,2,,🔊 Blend: /s/ + /un/. What word is it?,Fun,Run,Sun,Bun,Sun,"Start with the /s/ sound, then add -un!",1,,,
RF.K.2c,3,"✂️ Break the word ""mop"" into two parts: the first sound and the rest.",Which is correct?,/m/ + /op/,/mo/ + /p/,/m/ + /o/ + /p/,/mp/ + /o/,/m/ + /op/,The onset (first sound) is /m/. The rime (rest of the word) is -op.,2,,,
RF.K.2c,4,,🔊 Blend: /b/ + /ig/. What word do you get?,Bag,Bug,Big,Bog,Big,/b/ in front of -ig = ?,1,,,
RF.K.2c,5,,"✂️ What is the FIRST sound (onset) in the word ""top""?",/t/,/o/,/p/,/to/,/t/,The onset is the very first sound before the vowel!,2,,,
RF.K.2d,1,,"🔊 What is the FIRST sound in the word ""map""?",/m/,/a/,/p/,/s/,/m/,Say 'map' slowly — what sound does your mouth make first?,1,,,
RF.K.2d,2,,"🔊 What is the LAST sound in the word ""bus""?",/b/,/u/,/s/,/z/,/s/,Say 'bus' — what sound do you hear at the very end?,1,,,
RF.K.2d,3,,"🔊 What is the MIDDLE sound in the word ""pig""?",/p/,/i/,/g/,/a/,/i/,P - I - G. The middle sound is the vowel!,2,,,
RF.K.2d,4,,"🔊 What is the FIRST sound in the word ""fun""?",/u/,/n/,/f/,/s/,/f/,Say 'fun' slowly. The very first sound is...,1,,,
RF.K.2d,5,"🔊 The word ""bed"" has 3 sounds: /b/ - /e/ - /d/.",What is the MIDDLE sound?,/b/,/d/,/e/,/a/,/e/,The middle sound is always the vowel — the one in between!,1,,,
