grade,folder,standard_id,question_id,type,expected_path,imagen_brief
K,kindergarten,RI.K.5,RI.K.5-Q6,category_sort,images/kindergarten/RI.K.5/RI.K.5-Q6.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Sort each thing to the right book part!. Standard RI.K.5."
K,kindergarten,RI.K.5,RI.K.5-Q7,multiple_choice,images/kindergarten/RI.K.5/RI.K.5-Q7.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The explorer looked at the outside of a book and saw a big picture of a whale and the name of the book.. Standard RI.K.5."
K,kindergarten,RI.K.5,RI.K.5-Q8,sentence_build,images/kindergarten/RI.K.5/RI.K.5-Q8.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Put the words in order to make a sentence about books.. Standard RI.K.5."
K,kindergarten,RI.K.5,RI.K.5-Q9,missing_word,images/kindergarten/RI.K.5/RI.K.5-Q9.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Pick the right word to fill the blank.. Standard RI.K.5."
K,kindergarten,RI.K.5,RI.K.5-Q10,multiple_choice,images/kindergarten/RI.K.5/RI.K.5-Q10.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: You have just opened a book past its front cover. What do you call the very first paper page inside that tells you the book's title and who wrote it?. Standard RI.K.5."
K,kindergarten,RI.K.5,RI.K.5-Q11,multiple_choice,images/kindergarten/RI.K.5/RI.K.5-Q11.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The explorer turned the book over and read about all the fun ocean facts inside.. Standard RI.K.5."
K,kindergarten,RI.K.8,RI.K.8-Q4,multiple_choice,images/kindergarten/RI.K.8/RI.K.8-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Based on the story, which reason tells us why dogs make great pets?. Standard RI.K.8."
K,kindergarten,RI.K.9,RI.K.9-Q1,multiple_choice,images/kindergarten/RI.K.9/RI.K.9-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What is one way the books tell us different things about cats?. Standard RI.K.9."
K,kindergarten,RF.K.1a,RF.K.1a-Q1,multiple_choice,images/kindergarten/RF.K.1a/RF.K.1a-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: After you have read all the words on one page of your book, what is the best way to find the next part of the story?. Standard RF.K.1a."
K,kindergarten,RF.K.1a,RF.K.1a-Q4,multiple_choice,images/kindergarten/RF.K.1a/RF.K.1a-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine you are reading these words in a book: The little bird flew to its nest. If you just finished reading the word 'bird' on the first line, which word should you read next?. Standard RF.K.1a."
K,kindergarten,RF.K.1a,RF.K.1a-Q6,sentence_build,images/kindergarten/RF.K.1a/RF.K.1a-Q6.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Put the words in order to make a sentence.. Standard RF.K.1a."
K,kindergarten,RF.K.1a,RF.K.1a-Q9,sentence_build,images/kindergarten/RF.K.1a/RF.K.1a-Q9.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Tap each word in READING order — left to right!. Standard RF.K.1a."
K,kindergarten,RF.K.1c,RF.K.1c-Q1,space_insertion,images/kindergarten/RF.K.1c/RF.K.1c-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Tap between letters to add spaces to make the sentence correct.. Standard RF.K.1c."
K,kindergarten,RF.K.1c,RF.K.1c-Q3,multiple_choice,images/kindergarten/RF.K.1c/RF.K.1c-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Look at these words: ""thecat sat"". This is not quite right. Which choice shows all the words separated correctly?. Standard RF.K.1c."
K,kindergarten,RF.K.1c,RF.K.1c-Q4,multiple_choice,images/kindergarten/RF.K.1c/RF.K.1c-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The words ""I am happy"" are written like this: ""Iamhappy."" Which choice shows the words with the correct spaces?. Standard RF.K.1c."
K,kindergarten,RF.K.1d,RF.K.1d-Q1,multiple_choice,images/kindergarten/RF.K.1d/RF.K.1d-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which is the UPPERCASE (capital) version of the letter ""a""?. Standard RF.K.1d."
K,kindergarten,RF.K.1d,RF.K.1d-Q4,multiple_choice,images/kindergarten/RF.K.1d/RF.K.1d-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which of these letters is the letter P?. Standard RF.K.1d."
K,kindergarten,RF.K.1d,RF.K.1d-Q5,multiple_choice,images/kindergarten/RF.K.1d/RF.K.1d-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which choice shows the uppercase letter P?. Standard RF.K.1d."
K,kindergarten,RF.K.2a,RF.K.2a-Q1,multiple_choice,images/kindergarten/RF.K.2a/RF.K.2a-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which two words rhyme?. Standard RF.K.2a."
K,kindergarten,RF.K.2a,RF.K.2a-Q2,multiple_choice,images/kindergarten/RF.K.2a/RF.K.2a-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which pair of words rhymes?. Standard RF.K.2a."
K,kindergarten,RF.K.2a,RF.K.2a-Q3,multiple_choice,images/kindergarten/RF.K.2a/RF.K.2a-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which word rhymes with 'ball'?. Standard RF.K.2a."
K,kindergarten,RF.K.2a,RF.K.2a-Q5,multiple_choice,images/kindergarten/RF.K.2a/RF.K.2a-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Look at these words: 'sun,' 'fun,' 'run.' Which word below does NOT rhyme with them?. Standard RF.K.2a."
K,kindergarten,RF.K.2d,RF.K.2d-Q1,multiple_choice,images/kindergarten/RF.K.2d/RF.K.2d-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which word has the /i/ sound in the middle?. Standard RF.K.2d."
K,kindergarten,RF.K.2d,RF.K.2d-Q2,multiple_choice,images/kindergarten/RF.K.2d/RF.K.2d-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Listen carefully to the word 'pig'. Which sound do you hear in the middle of the word 'pig'?. Standard RF.K.2d."
K,kindergarten,RF.K.2e,RF.K.2e-Q2,multiple_choice,images/kindergarten/RF.K.2e/RF.K.2e-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Let's play with sounds! Say the word 'map'. Now, change the very first sound, /m/, to the /t/ sound. What new word do you hear?. Standard RF.K.2e."
K,kindergarten,RF.K.2e,RF.K.2e-Q3,multiple_choice,images/kindergarten/RF.K.2e/RF.K.2e-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Look at these pairs of words. In which pair was a new word made by changing only one sound?. Standard RF.K.2e."
K,kindergarten,RF.K.2e,RF.K.2e-Q4,multiple_choice,images/kindergarten/RF.K.2e/RF.K.2e-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Listen to the word 'dog'. If you change the middle sound, /o/, to the /i/ sound, what new word do you make?. Standard RF.K.2e."
K,kindergarten,RF.K.2e,RF.K.2e-Q5,multiple_choice,images/kindergarten/RF.K.2e/RF.K.2e-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine you have the word 'op'. If you put the sound /h/ at the beginning, what new word do you create?. Standard RF.K.2e."
K,kindergarten,RF.K.3b,RF.K.3b-Q1,multiple_choice,images/kindergarten/RF.K.3b/RF.K.3b-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The word ""cake"" has a long 'a' sound, and ""cat"" has a short 'a' sound. Now, look at the word ""rake"". What kind of 'a' sound do you hear in ""rake""?. Standard RF.K.3b."
K,kindergarten,RF.K.3b,RF.K.3b-Q3,multiple_choice,images/kindergarten/RF.K.3b/RF.K.3b-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Three of these words have a LONG **o** sound. Which word has a DIFFERENT vowel sound?. Standard RF.K.3b."
K,kindergarten,RF.K.3c,RF.K.3c-Q5,multiple_choice,images/kindergarten/RF.K.3c/RF.K.3c-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Choose the sight word that best completes the sentence: The boys ___ happy.. Standard RF.K.3c."
K,kindergarten,RF.K.3d,RF.K.3d-Q3,multiple_choice,images/kindergarten/RF.K.3d/RF.K.3d-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Listen to the words MAP and MOP. Which sound changes in the middle of these words?. Standard RF.K.3d."
K,kindergarten,RF.K.4,RF.K.4-Q4,multiple_choice,images/kindergarten/RF.K.4/RF.K.4-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: When the sun is out and it's time to play, what part of the day is it?. Standard RF.K.4."
K,kindergarten,K.L.1,K.L.1-Q2,multiple_choice,images/kindergarten/K.L.1/K.L.1-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which word in the sentence 'The fish swims in the water' tells what the fish does?. Standard K.L.1."
K,kindergarten,K.L.1,K.L.1-Q5,multiple_choice,images/kindergarten/K.L.1/K.L.1-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The cat is hiding ___ the bed.. Standard K.L.1."
K,kindergarten,K.L.2,K.L.2-Q3,multiple_choice,images/kindergarten/K.L.2/K.L.2-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Look at the sentence: ""Do you like apples"" Which mark belongs at the very end?. Standard K.L.2."
K,kindergarten,K.L.2,K.L.2-Q4,multiple_choice,images/kindergarten/K.L.2/K.L.2-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Look at this sentence: ""My friend is named sam."" Which word needs a capital letter?. Standard K.L.2."
K,kindergarten,K.L.5,K.L.5-Q1,multiple_choice,images/kindergarten/K.L.5/K.L.5-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Apple, banana, and orange are alike. Which word is also like them?. Standard K.L.5."
K,kindergarten,K.L.6,K.L.6-Q5,multiple_choice,images/kindergarten/K.L.6/K.L.6-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: When the leaves turn red and yellow and gently fall to the ground, what is another word we can use for this time of year?. Standard K.L.6."
K,kindergarten,RL.K.10,RL.K.10-Q1,multiple_choice,images/kindergarten/RL.K.10/RL.K.10-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What is one way to show you are actively listening during group story time?. Standard RL.K.10."
K,kindergarten,RL.K.10,RL.K.10-Q3,multiple_choice,images/kindergarten/RL.K.10/RL.K.10-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: In the story about the little bear, what did the bear want to find?. Standard RL.K.10."
K,kindergarten,RL.K.10,RL.K.10-Q4,multiple_choice,images/kindergarten/RL.K.10/RL.K.10-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What is one way you can show you understand a story during group reading time?. Standard RL.K.10."
K,kindergarten,RL.K.10,RL.K.10-Q5,multiple_choice,images/kindergarten/RL.K.10/RL.K.10-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: How can you show you are actively engaged when your teacher is reading a story to the whole class?. Standard RL.K.10."
K,kindergarten,RI.K.10,RI.K.10-Q1,multiple_choice,images/kindergarten/RI.K.10/RI.K.10-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: If we read a fact book that showed us pictures of lions, tigers, and bears, what would be the main topic of that book?. Standard RI.K.10."
K,kindergarten,RI.K.10,RI.K.10-Q2,multiple_choice,images/kindergarten/RI.K.10/RI.K.10-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: You are reading a fact book about bugs with your group. What is a good way to actively engage with the book?. Standard RI.K.10."
K,kindergarten,RI.K.10,RI.K.10-Q3,multiple_choice,images/kindergarten/RI.K.10/RI.K.10-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Your teacher is reading a book to help everyone learn about different animals. What is the best way to show you are learning?. Standard RI.K.10."
K,kindergarten,RI.K.10,RI.K.10-Q4,multiple_choice,images/kindergarten/RI.K.10/RI.K.10-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: When your group reads a fact book, what is a good way to learn new things together?. Standard RI.K.10."
K,kindergarten,RI.K.10,RI.K.10-Q5,multiple_choice,images/kindergarten/RI.K.10/RI.K.10-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Your class read a book about penguins together. What did the book teach you about where penguins usually live?. Standard RI.K.10."
1st,1st-grade,RL.1.1,RL.1.1-Q1,multiple_choice,images/1st-grade/RL.1.1/RL.1.1-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: After Bella picked the apples, what did she do next?. Standard RL.1.1."
1st,1st-grade,RL.1.1,RL.1.1-Q5,multiple_choice,images/1st-grade/RL.1.1/RL.1.1-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Why was the kitten scared?. Standard RL.1.1."
1st,1st-grade,RL.1.2,RL.1.2-Q4,multiple_choice,images/1st-grade/RL.1.2/RL.1.2-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What lesson can we learn from Leo's story?. Standard RL.1.2."
1st,1st-grade,RL.1.3,RL.1.3-Q1,multiple_choice,images/1st-grade/RL.1.3/RL.1.3-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which words best describe where the old woman lives?. Standard RL.1.3."
1st,1st-grade,RL.1.3,RL.1.3-Q4,multiple_choice,images/1st-grade/RL.1.3/RL.1.3-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which major event began the story about Rosa?. Standard RL.1.3."
1st,1st-grade,RL.1.4,RL.1.4-Q1,multiple_choice,images/1st-grade/RL.1.4/RL.1.4-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The bright sun warmed her face.. Standard RL.1.4."
1st,1st-grade,RL.1.5,RL.1.5-Q6,category_sort,images/1st-grade/RL.1.5/RL.1.5-Q6.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Sort each description into the right category!. Standard RL.1.5."
1st,1st-grade,RL.1.6,RL.1.6-Q3,multiple_choice,images/1st-grade/RL.1.6/RL.1.6-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Who is telling you that Maria said, ""I love pizza!""?. Standard RL.1.6."
1st,1st-grade,RL.1.6,RL.1.6-Q5,multiple_choice,images/1st-grade/RL.1.6/RL.1.6-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: In the sentence, """"Let's go!"" shouted Tom,"" who is telling us that Tom shouted?. Standard RL.1.6."
1st,1st-grade,RL.1.7,RL.1.7-Q3,multiple_choice,images/1st-grade/RL.1.7/RL.1.7-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The story says, ""The dog was big."" Look at the picture that goes with the story. What does the picture help you understand about how big the dog is?. Standard RL.1.7."
1st,1st-grade,RL.1.7,RL.1.7-Q4,multiple_choice,images/1st-grade/RL.1.7/RL.1.7-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine a picture in the story shows a bunny with a big smile, a small backpack, and eyes looking towards a tall, snowy mountain. Using this picture, what can we best describe about the bunny?. Standard RL.1.7."
1st,1st-grade,RL.1.9,RL.1.9-Q1,multiple_choice,images/1st-grade/RL.1.9/RL.1.9-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What is different about how the bear and the bee experience honey in their stories?. Standard RL.1.9."
1st,1st-grade,RL.1.9,RL.1.9-Q4,multiple_choice,images/1st-grade/RL.1.9/RL.1.9-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Leo went to the park and played on the swings. His friend Mia went to the playground and played on the slide. How were Leo's and Mia's adventures the same?. Standard RL.1.9."
1st,1st-grade,RL.1.9,RL.1.9-Q5,multiple_choice,images/1st-grade/RL.1.9/RL.1.9-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: In our story, a little bird named Pip loves to fly high in the sky. A little rabbit named Fluffy loves to dig tunnels deep in the ground. What is one way Pip and Fluffy are *different*?. Standard RL.1.9."
1st,1st-grade,RI.1.1,RI.1.1-Q1,multiple_choice,images/1st-grade/RI.1.1/RI.1.1-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Based on the text, what kind of weather do penguins like?. Standard RI.1.1."
1st,1st-grade,RI.1.2,RI.1.2-Q3,multiple_choice,images/1st-grade/RI.1.2/RI.1.2-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which detail about cats is shared in the text?. Standard RI.1.2."
1st,1st-grade,RI.1.3,RI.1.3-Q4,multiple_choice,images/1st-grade/RI.1.3/RI.1.3-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: How does the text show the connection between George Washington leading the army and being president?. Standard RI.1.3."
1st,1st-grade,RI.1.3,RI.1.3-Q5,multiple_choice,images/1st-grade/RI.1.3/RI.1.3-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The passage tells us about the caterpillar's big change. What does the caterpillar do right after eating to get ready for this change?. Standard RI.1.3."
1st,1st-grade,RI.1.4,RI.1.4-Q4,multiple_choice,images/1st-grade/RI.1.4/RI.1.4-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The text says, ""A fish's habitat is water."" What does the word 'habitat' mean?. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q6,tap_to_pair,images/1st-grade/RI.1.4/RI.1.4-Q6.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Match each word to its meaning!. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q3,multiple_choice,images/1st-grade/RI.1.4/RI.1.4-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Dolphins need to find food even when the water is very dark. They use echolocation. This helps them send out sounds that bounce back, showing them where fish are hiding.. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q7,multiple_choice,images/1st-grade/RI.1.4/RI.1.4-Q7.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: A squirrel lives in a tree. A fish lives in the water. A bird lives in a nest. What does the word 'habitat' mean when it says, 'Each animal has its own special habitat'?. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q8,multiple_choice,images/1st-grade/RI.1.4/RI.1.4-Q8.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The hermit crab needed a new shell because it had outgrown its old one. If you wanted to understand what 'outgrown' means, which question would help you the most?. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q9,category_sort,images/1st-grade/RI.1.4/RI.1.4-Q9.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Sort each word — is it a word about ocean animals or ocean places?. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q10,sentence_build,images/1st-grade/RI.1.4/RI.1.4-Q10.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Put the words in order to make a sentence.. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q11,multiple_choice,images/1st-grade/RI.1.4/RI.1.4-Q11.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The passage says starfish can regenerate. If a starfish loses an arm, what can it do next?. Standard RI.1.4."
1st,1st-grade,RI.1.4,RI.1.4-Q12,missing_word,images/1st-grade/RI.1.4/RI.1.4-Q12.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Pick the right word to fill the blank.. Standard RI.1.4."
1st,1st-grade,RI.1.6,RI.1.6-Q4,multiple_choice,images/1st-grade/RI.1.6/RI.1.6-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: You are reading a book about flowers. The words say, 'Flowers are pretty. They grow tall and have colorful petals.' The picture next to the words shows a flower with its roots under the ground. What can you learn only fr. Standard RI.1.6."
1st,1st-grade,RI.1.7,RI.1.7-Q3,multiple_choice,images/1st-grade/RI.1.7/RI.1.7-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine a map in a book about lions. It shows Africa with different colored areas. Next to the map, a small box, called a key, tells what each color stands for. This map helps you understand:. Standard RI.1.7."
1st,1st-grade,RI.1.7,RI.1.7-Q5,multiple_choice,images/1st-grade/RI.1.7/RI.1.7-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine you are reading an informational book about animals. On one page, there is a big picture of a lion with a shaggy mane. The words on that page say, 'Lions are powerful cats that live in Africa.' What does the pict. Standard RI.1.7."
1st,1st-grade,RI.1.8,RI.1.8-Q3,multiple_choice,images/1st-grade/RI.1.8/RI.1.8-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What reason does the author give to show why kids should eat vegetables?. Standard RI.1.8."
1st,1st-grade,RI.1.9,RI.1.9-Q2,multiple_choice,images/1st-grade/RI.1.9/RI.1.9-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Book 1 says the sun is a big star. Book 2 says the sun is a star in the sky. What do both books agree about the sun?. Standard RI.1.9."
1st,1st-grade,RI.1.9,RI.1.9-Q4,multiple_choice,images/1st-grade/RI.1.9/RI.1.9-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Book 1 tells how rain forms in the sky. Book 2 tells why plants need rain to grow. What is one way these two books are similar?. Standard RI.1.9."
1st,1st-grade,RI.1.9,RI.1.9-Q5,multiple_choice,images/1st-grade/RI.1.9/RI.1.9-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Read about Max and Lucy.Max is a big dog. He has brown fur.Lucy is a small dog. She has white fur.What is one thing that is the SAME about Max and Lucy?. Standard RI.1.9."
1st,1st-grade,RF.1.1a,RF.1.1a-Q5,multiple_choice,images/1st-grade/RF.1.1a/RF.1.1a-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Which sentence needs a capital letter at the beginning?. Standard RF.1.1a."
1st,1st-grade,RF.1.2d,RF.1.2d-Q1,multiple_choice,images/1st-grade/RF.1.2d/RF.1.2d-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Listen carefully to the word ""ship"". Which choice shows all the individual sounds you hear?. Standard RF.1.2d."
1st,1st-grade,RF.1.2d,RF.1.2d-Q2,multiple_choice,images/1st-grade/RF.1.2d/RF.1.2d-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Listen carefully to the word **ship**. Which choice shows each single sound you hear?. Standard RF.1.2d."
1st,1st-grade,RF.1.2d,RF.1.2d-Q3,multiple_choice,images/1st-grade/RF.1.2d/RF.1.2d-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Imagine you are saying the word **bug** very slowly, stretching out each sound. Which choice shows the sounds you would make, one by one?. Standard RF.1.2d."
1st,1st-grade,RF.1.2d,RF.1.2d-Q5,multiple_choice,images/1st-grade/RF.1.2d/RF.1.2d-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Your teacher asks you to say each separate sound you hear in the word **jump**. Which choice shows all the sounds you would say?. Standard RF.1.2d."
