id,level,severity,reason,old_hint,new_hint
RL.K.7-Q5,Kindergarten,warn,"The hint prompts the child to think about the exact concept that is the correct answer, hinting heavily at the solution.",Think about how pictures help you when you read a book!,
RL.K.9-Q1,Kindergarten,warn,"The hint strongly directs the child to compare what Bear and Cat like to eat or drink, which is the core of the correct answer, stopping just short of stating it.",Different means NOT the same. What do they each like to eat or drink?,
RL.K.9-Q3,Kindergarten,warn,"The hint points directly to the shared feeling, which is the correct answer, without explicitly stating it.",What feeling did BOTH characters share?,
RL.K.9-Q4,Kindergarten,warn,"The hint points very directly to the specific information needed to answer the question (what each character 'does'), which is the core of the correct answer.",Think about what each character DOES in the story.,
RI.K.2-Q1,Kindergarten,warn,The hint strongly leads the child to the correct answer by setting up a fill-in-the-blank that is easily completed with the correct topic.,The main topic is what the WHOLE passage is about — every sentence talks about...,
RI.K.3-Q1,Kindergarten,warn,"The hint asks for the direct cause, which is explicitly stated right before the effect in a very short passage, making it very easy to infer the correct answer.",What happened FIRST that caused the flowers to grow?,
RI.K.3-Q4,Kindergarten,warn,"The hint provides the core reason ('They need energy!') which is a very strong clue to the correct answer, stopping just short of stating it directly.",Think about what comes NEXT — they sleep all winter. They need energy!,
RI.K.4-Q2,Kindergarten,fail,The hint directly states the meaning of 'erupts' by quoting 'shoots out' from the prompt and explicitly linking it to the word.,The sentence says lava 'shoots out' — that's what erupting is!,Look at what happens when a volcano ERUPTS in the sentence.
RI.K.4-Q3,Kindergarten,warn,"The hint points directly to the sentence that explicitly states the definition, making it very easy for the child to find the answer without further comprehension.",The second sentence tells you exactly what a peak is!,
RI.K.4-Q4,Kindergarten,fail,The hint explicitly defines 'migrate' using a phrase ('travel very far') that is a direct paraphrase of the correct answer choice ('Travel to a different place').,The next sentence says they 'travel very far' — that's what migrate means!,Re-read the second sentence about the whales.
RI.K.4-Q5,Kindergarten,warn,"The hint provides the exact reasoning for the correct answer, making it very easy to infer without further thought.","All the examples (fish, dolphins, sea turtles) live in the ocean!",
RI.K.5-Q1,Kindergarten,warn,"The hint strongly implies the correct answer by describing the immediate visual experience of picking up a book, which points directly to the front cover.",The title is the big name of the book — you see it right away when you pick up a book!,
RI.K.5-Q2,Kindergarten,fail,"The hint uses a synonym for the correct answer ('blurb' for 'short description') and directly states its purpose ('tells you about the book'), effectively paraphrasing the correct answer.",Flip the book over — there's usually a little blurb that tells you about the book!,Look at the back cover of a book near you.
RI.K.5-Q3,Kindergarten,fail,"The hint directly paraphrases a key part of the correct answer's definition regarding its location, allowing the child to select the correct option without full comprehension.",Open the book — one of the first things you see is the title page!,What does the 'title' part of 'title page' make you think of?
RI.K.5-Q4,Kindergarten,fail,"The hint directly describes the position of the correct answer and then asks a rhetorical question that leads immediately to it, effectively stating the answer.",Books face forward on a shelf — what's facing you?,Think about what part of a book you usually see when it's sitting on a shelf.
RI.K.5-Q5,Kindergarten,fail,"The hint directly names the 'cover' and 'back cover', which are the exact components of the correct answer, effectively stating the answer.","The cover gives you the title and a picture, and the back cover tells you more!",Look at the parts of a book you see before you open it.
RI.K.6-Q1,Kindergarten,fail,"The hint defines the role of an author, which is the correct answer, rather than guiding the child back to the passage to infer the answer.",'Written by' means this person wrote the words!,Re-read the part that says 'Written by Dr. Sara Chen'.
RI.K.6-Q2,Kindergarten,fail,"The hint describes the output and function of the correct answer (pictures and diagrams that help you understand) and then directly asks for the agent responsible, effectively paraphrasing the correct answer.","In a fact book, pictures and diagrams help you understand. Who makes those?",Look closely at the word 'ILLUSTRATOR' in the question.
RI.K.6-Q3,Kindergarten,warn,The hint explains a textual convention that directly leads the child to the correct answer without requiring further comprehension or re-reading beyond applying the rule.,'By' tells you who the author is!,
RI.K.6-Q4,Kindergarten,warn,"The hint explains the conceptual link between photos and drawings, which are both created by an illustrator or photographer, thus hinting heavily at the correct role.",Photos serve the same purpose as drawings — they show you what things look like!,
RI.K.6-Q5,Kindergarten,fail,"The hint paraphrases the correct answer by explaining the roles of words (author) and pictures (illustrator) in an informational book, which is the core of the correct choice.","Words tell you facts, pictures help you see and understand them!",Think about what an author does and what an illustrator does for a book.
RI.K.7-Q1,Kindergarten,fail,"The hint paraphrases the correct answer by explaining the purpose of the picture in relation to the word 'mane', which is what the correct choice states.","If you didn't know what a mane was, the picture would show you!",Think about the word 'manes' and what the picture shows.
RI.K.7-Q2,Kindergarten,warn,"The hint uses the key word 'WHERE' which is central to the correct answer, making it a very strong hint without requiring re-reading.",Maps show WHERE things are!,
RI.K.7-Q3,Kindergarten,fail,"The hint directly states that the picture 'shows each step', which is a close paraphrase of the correct answer 'It shows all the steps in order'.",The picture gives MORE details — it shows each step!,Compare what the picture shows to what the text says.
RI.K.7-Q5,Kindergarten,fail,"The hint explains the core message of the picture, which is the correct answer, rather than simply guiding the child back to the evidence.",The picture puts two very different-sized dogs side by side so you can compare!,Look at the tiny chihuahua next to the huge Great Dane.
RI.K.8-Q4,Kindergarten,fail,"The hint directly states the correct answer by counting the reasons and explicitly saying 'That's 1, 2, 3!'","Count them: loyal, love to play, and can learn tricks. That's 1, 2, 3!",Count the reasons the author gives in the second sentence.
RI.K.9-Q3,Kindergarten,fail,"The hint directly summarizes the core information that makes the correct answer true, effectively paraphrasing the 'gives things to Earth' part of the correct answer.","Both books talk about what the sun gives — light, energy, growth!",Re-read what each book says the sun gives us.
RI.K.9-Q4,Kindergarten,fail,"The hint explicitly states that 'sit, stay, and shake' are 'training,' which is the correct answer to what Book 2 is about.","Sit, stay, and shake are all tricks — that's training!",Look closely at the first word in the second sentence of Book 2.
RI.K.9-Q5,Kindergarten,fail,"The hint paraphrases the correct answer by stating that both books are about the 'same creature,' which directly points to 'butterflies' as the common subject.","Even though they share different facts, they're both about the same creature!",Look at the first word in Book 1 and Book 2.
RF.K.1a-Q1,Kindergarten,fail,"The hint directly states the key word of the correct answer, making it easy for the child to identify the correct choice without further thought.",We read from LEFT to right!,Think about how you read this question.
RF.K.1a-Q2,Kindergarten,fail,"The hint paraphrases the correct answer almost exactly, providing the answer directly to the child.",Your eyes sweep down and back to the left to start the next line!,Remember what your eyes do when you finish a line in your reading book.
RF.K.1a-Q3,Kindergarten,fail,"The hint heavily paraphrases the correct answer by describing the action of turning to the next page as 'one after another', making it easy for a child to infer the answer.",We read page by page — one after another!,What do you do to keep reading a story?
RF.K.1a-Q4,Kindergarten,fail,The hint directly states the correct answer by describing the direction of reading words.,"In English, our eyes go from the LEFT side to the RIGHT side!",Think about how your eyes move when you read a book.
RF.K.1a-Q5,Kindergarten,fail,"The hint directly states the two key components of the correct answer, 'TOP' and 'LEFT', which is a paraphrase of 'Top left corner'.",We start at the TOP and on the LEFT — then go right and down!,Where do you put your finger first when you start to read a story?
RF.K.1a-Q7,Kindergarten,warn,"The hint gives away the first word and the end punctuation, which significantly reduces the task's difficulty without fully stating the answer.",Start with 'I' and end with a period.,
RF.K.1a-Q8,Kindergarten,warn,"The hint heavily guides the child to the main action of the sentence by asking 'What did the dog do?', which directly points to 'Ran Fast'.",Start with a capital letter. What did the dog do?,
RF.K.1b-Q1,Kindergarten,fail,"The hint directly states the correct spelling of the word, allowing the child to copy the answer.","The word 'cat' uses the letters C, A, and T in that order!",Look at the question again and think about how you write the word 'cat'.
RF.K.1b-Q2,Kindergarten,fail,"The hint directly provides examples of letters and states they are used to build words, effectively giving away the correct answer.","A, B, C, D... we use these to build words!",Look at the word 'words' in the prompt. What are its tiny pieces?
RF.K.1b-Q3,Kindergarten,fail,"The hint provides the exact phonetic breakdown of the word, which directly leads to the correct spelling, effectively paraphrasing the answer.",Sound it out: /d/ - /o/ - /g/. What letters make those sounds?,Say the word 'dog' out loud and listen carefully.
RF.K.1b-Q4,Kindergarten,fail,"The hint directly states the outcome of changing letters, which is the correct answer.",C-A-T is 'cat' but C-A-P is 'cap' — different letters make different words!,Think about what happens when you change just one letter in a word.
RF.K.1b-Q5,Kindergarten,fail,"The hint directly states the correct answer, leaving nothing for the child to figure out.",We can write down anything we say using letters!,Look at how words are shown in your favorite storybook.
RF.K.1c-Q2,Kindergarten,warn,"The hint strongly implies the correct answer by describing the problem that spaces solve, which is the core of the correct choice.","Without spaces, all the words would smush together!",
RF.K.1c-Q3,Kindergarten,fail,"The hint explicitly states the correct answer, '3 separate words', which directly matches one of the choices.",It should be: the cat sat — that's 3 separate words!,Look closely at 'thecat' and imagine where the words should be separated.
RF.K.1c-Q4,Kindergarten,fail,"The hint explicitly lists the words, making the counting trivial and effectively giving away the answer.",Count the groups of letters separated by spaces: I / am / happy.,Look at the sentence 'I am happy' and count the words you read.
RF.K.1c-Q5,Kindergarten,fail,"The hint directly states the correct rule for spacing, which is the core of the correct answer choice.",Put a space between each word — not between each letter!,How do we show where one word ends and another begins?
RF.K.1d-Q1,Kindergarten,warn,"The hint sets up a fill-in-the-blank sentence where the correct answer is the only logical completion, hinting heavily without explicitly stating it.",Uppercase letters are BIG letters — the capital version of 'a' is...,
RF.K.1d-Q2,Kindergarten,fail,"The hint explicitly states what the lowercase 'G' looks like, which is the correct answer.",Lowercase letters are small letters. The small 'G' looks like 'g.',Look at the letter G in bold in the question.
RF.K.1d-Q4,Kindergarten,warn,"The hint provides the alphabet sequence with a blank, making the correct answer extremely obvious without explicitly stating it.","Sing the alphabet song: ...K, L, M, __, O...",
RF.K.1d-Q5,Kindergarten,fail,"The hint directly states the correct answer, which the child can copy.","From A to Z, there are 26 letters!",Remember how many letters you sing in the alphabet song.
RF.K.2a-Q1,Kindergarten,fail,"The hint explicitly demonstrates the rhyme between 'cat' and 'hat', effectively stating the correct answer.",Rhyming words sound the same at the END. Cat... hat... they both end in -at!,Listen to the sound of the word 'cat' and compare it to the choices.
RF.K.2a-Q2,Kindergarten,warn,"The hint provides the exact sound (-un) that the correct answer must have, making it very easy to identify 'Fun' among the choices without further deduction.",Sun and ___ both end with the -un sound!,
RF.K.2a-Q3,Kindergarten,warn,"The hint identifies all the rhyming words and their common sound, leaving only the correct answer as the non-rhyming option.","Ball, tall, wall, fall all end in -all. Which one doesn't?",
RF.K.2a-Q5,Kindergarten,warn,"The hint provides the exact ending sound/letters to look for, making it very easy to identify the correct answer without much independent thought.",Hop ends with -op. Which other word ends with -op?,
RF.K.2b-Q1,Kindergarten,fail,"The hint explicitly states the correct answer by saying 'Just one clap!', which directly gives the number of syllables.",Say it and clap: CAT. Just one clap!,Try clapping out the word 'cat' like the prompt suggests.
RF.K.2b-Q2,Kindergarten,fail,"The hint explicitly states the correct answer, 'That's 3 claps!'",Clap it out: ba-NA-na. That's 3 claps!,Go back to the word 'banana' and clap it out.
RF.K.2b-Q3,Kindergarten,fail,"The hint provides the exact syllable breakdown, making the answer obvious by simply counting the provided parts.",Clap it: BUT-ter-fly. Count the claps!,Try saying the word 'butterfly' slowly.
RF.K.2b-Q4,Kindergarten,fail,"The hint explicitly states the syllable count for each word, directly revealing that 'Apple' has two syllables, which is the correct answer.","Clap each word: dog (1), ap-ple (2), cat (1), fish (1).",Say each word out loud and listen to its parts.
RF.K.2b-Q5,Kindergarten,warn,"The hint re-states the question's components and operation, making the correct answer very obvious without explicitly stating it.",Blend the parts together: rain + bow = ?,
RF.K.2c-Q1,Kindergarten,fail,"The hint directly instructs the child on how to form the correct answer, making it easy to select 'Cat' without truly blending the sounds independently.",Put the /c/ sound in front of -at!,Focus on blending the sounds /c/ and /at/.
RF.K.2c-Q2,Kindergarten,warn,"The hint directly re-states the blending task, which heavily guides the child to the correct answer without explicitly stating it.","Start with the /s/ sound, then add -un!",
RF.K.2c-Q3,Kindergarten,fail,"The hint explicitly states both parts of the correct answer, leaving nothing for the child to figure out.",The onset (first sound) is /m/. The rime (rest of the word) is -op.,Re-read the prompt and think about the 'first sound and the rest'.
RF.K.2d-Q3,Kindergarten,fail,"The hint spells out the word and then states that the middle sound is the vowel, which directly points to the correct answer 'i' as it's the only vowel in the word and is in the middle.",P - I - G. The middle sound is the vowel!,Say the word 'pig' slowly and listen for the sound in the middle.
RF.K.2d-Q4,Kindergarten,warn,"The hint is very leading, prompting the child to perform an action that immediately reveals the answer without requiring further thought or re-evaluation.",Say 'fun' slowly. The very first sound is...,
RF.K.2d-Q5,Kindergarten,fail,"The hint defines the middle sound as the vowel, which directly identifies the correct answer /e/ from the provided sounds /b/ - /e/ - /d/.",The middle sound is always the vowel — the one in between!,Look closely at the three sounds for 'bed' in the prompt.
RF.K.2e-Q1,Kindergarten,fail,"The hint phonetically spells out the correct answer, making it easy for the child to deduce the word.",Take away the 'c' sound and put in a 'b' sound: b-at!,Look at the sound you need to change 'c' to.
RF.K.2e-Q2,Kindergarten,fail,"The hint directly provides the phonetic components of the correct answer, essentially performing the task for the child.",Replace the /h/ with /t/: t-op!,Re-read the sentence that tells you which sound to change.
RF.K.2e-Q3,Kindergarten,fail,"The hint provides the exact components of the correct answer, making it trivial for the child to construct the word 'Men'.",Keep the 'm' and 'n' but change the middle sound to /e/!,Re-read the instruction about changing a sound in 'man'.
RF.K.2e-Q4,Kindergarten,fail,The hint directly tells the child how to construct the correct answer by providing the initial sound and the new ending sound.,Keep 'si-' and change the ending to /p/!,Look at the sound you need to change in 'sit'.
RF.K.2e-Q5,Kindergarten,fail,"The hint directly spells out the correct answer, allowing the child to copy it.",Put /s/ right before 'top': s-top!,Try adding the /s/ sound right at the start of 'top'.
RF.K.3a-Q1,Kindergarten,fail,"The hint explicitly states the correct answer, ""They all start with /b/!""","Think of words that start with B: ball, bat, bear. They all start with /b/!",Say the letter B out loud and listen to the sound it makes.
RF.K.3a-Q2,Kindergarten,fail,"The hint explicitly states the correct answer, ""/s/ sound,"" which the child can directly copy.","Think: snake, sun, sit — they all start with the /s/ sound!",Look closely at the letter S in the question.
RF.K.3a-Q3,Kindergarten,fail,"The hint directly demonstrates the sound and provides examples that clearly point to the correct letter, effectively giving away the answer.",Mmm... like 'mom' and 'milk'!,Listen to the sound at the beginning of 'makes' in the question.
RF.K.3a-Q5,Kindergarten,fail,"The hint explicitly states the correct answer, '/r/', making it easy for the child to copy without understanding.","Think of 'run,' 'red,' and 'rain' — they all start with /r/!",Say the letter R out loud and listen to the sound it makes.
RF.K.3b-Q1,Kindergarten,fail,"The hint explicitly uses the correct answer 'lake' as an example of a word with a long 'a' sound, effectively stating the answer.",Long 'a' says its own name — like in 'lake' and 'cake'!,Re-read the first sentence about the word 'cake'.
RF.K.3b-Q2,Kindergarten,fail,"The hint explicitly states the correct answer, 'sit', as an example of a word with a short 'i' sound.","Short 'i' sounds like the 'i' in pig, sit, and big!",Listen to the 'i' sound in 'pig' from the prompt.
RF.K.3b-Q3,Kindergarten,fail,"The hint explicitly states the correct answer, 'bone', as an example of a word with a long 'o' sound.",Long 'o' says its name — like 'bone' and 'note'!,Listen to the 'o' sound in the word 'note' again.
RF.K.3b-Q4,Kindergarten,fail,"The hint explicitly states the correct answer, 'red', as an example of a word with a short 'e' sound.","Short 'e' sounds like the 'e' in bed, red, and pet!",Re-read the example word given in the question: 'bed'.
RF.K.3b-Q5,Kindergarten,fail,"The hint explicitly states the correct answer, 'cup', as an example of a word with a short 'u' sound.","Short 'u' sounds like the 'u' in bus, cup, and sun!",Re-read the prompt and listen carefully to the sound in the example word.
RF.K.3c-Q1,Kindergarten,fail,"The hint literally spells out the correct answer, allowing the child to copy it directly.",Look carefully at the order of the letters: t-h-e!,Carefully look at how 'the' is spelled in the question.
RF.K.3c-Q2,Kindergarten,fail,"The hint directly provides the spelling of the correct answer, allowing the child to copy it into the choice.",This common word is spelled: d-o!,Try saying the sentence with each choice.
RF.K.3c-Q3,Kindergarten,fail,"The hint directly provides the correct spelling of the word 'is', which is the core of the question, allowing the child to copy the answer.",The word 'is' is spelled: i-s!,Look at each choice and think about how you usually spell 'is'.
RF.K.3c-Q4,Kindergarten,fail,"The hint directly provides the correct spelling of the sight word, which is the answer to the question.",The word 'you' is spelled: y-o-u!,Look closely at the sight word given in the prompt.
RF.K.3c-Q5,Kindergarten,fail,"The hint directly states the correct answer, 'She is,' which the child can copy into the choice.",We say 'She is' — not 'She am' or 'She are.',Try saying each word in the blank to see which one sounds best.
RF.K.3d-Q1,Kindergarten,warn,"The hint makes it very obvious which letter changed by presenting the words letter by letter and asking which one changed, heavily guiding the child to the correct answer without explicitly stating it.",C-A-T and B-A-T — which letter changed?,
RF.K.3d-Q2,Kindergarten,fail,"The hint explicitly states which letters changed, directly revealing the core information of the correct answer without requiring the child to re-evaluate the words.",P-A-N vs P-E-N — the 'A' changed to 'E'!,Compare the letters in the middle of PAN and PEN.
RF.K.3d-Q3,Kindergarten,fail,"The hint explicitly shows the identical spelling of both words and then asks a rhetorical question ('Any differences?') that strongly implies the correct answer, 'Same,' by paraphrasing 'no differences.'",Look at every letter: B-I-G and B-I-G. Any differences?,Look closely at the two words in the question.
RF.K.3d-Q4,Kindergarten,warn,"The hint tells the child exactly where the change occurred ('middle vowel') and that it is different, leaving very little for them to deduce beyond identifying the specific letters.",M-A-P vs M-O-P — the middle vowel is different!,
RF.K.3d-Q5,Kindergarten,fail,The hint directly provides the correct answer by showing the transformation from D-O-G to L-O-G.,D-O-G → L-O-G!,Think about what letter the prompt tells you to change in 'dog'.
RF.K.4-Q1,Kindergarten,warn,"The hint directs the child to the exact sentence containing the answer and rephrases the question, making the answer very easy to find without explicitly stating it.",Read the last sentence — where is the cat sitting?,
RF.K.4-Q2,Kindergarten,warn,The hint is a fill-in-the-blank that strongly leads to the correct answer without explicitly stating it.,"Dogs, cats, and fish are all types of...",
RF.K.4-Q3,Kindergarten,fail,"The hint directly states that 'fly' is not mentioned, which is the correct answer to what the person CAN'T do.","The story mentions run, hop, and skip — but NOT fly!",Re-read the story and look at all the actions the person can do.
RF.K.4-Q4,Kindergarten,fail,"The hint directly quotes the passage, 'It is day,' which is the correct answer, making it too easy for a child to select 'Daytime.'",The sun is up and the story says 'It is day.',Look at the second sentence to find the answer.
RF.K.4-Q5,Kindergarten,warn,"The hint points directly to the sentence that contains the correct answer, making it very easy for the child to find without much comprehension.",The last sentence tells you why!,
K.L.1-Q2,Kindergarten,warn,"The hint rephrases the definition of a verb, making the correct answer very obvious without explicitly stating it.",Which word is something you can DO?,
K.L.1-Q3,Kindergarten,fail,"The hint provides the exact grammatical rule that directly produces the correct answer for the word in the question, making the question trivial.","To make most words plural, just add an 's' at the end!",Look closely at the words 'PLURAL (more than one)' in the question.
K.L.1-Q4,Kindergarten,fail,"The hint provides a fill-in-the-blank example that makes the correct answer, 'Where,' obvious, effectively giving away the answer.","""_____ is the park?"" — you're asking about a place!",Re-read the question and think about the word 'PLACE'.
K.L.1-Q5,Kindergarten,fail,"The hint directly states the correct answer 'in' and explains its meaning, allowing the child to copy it.","If the ball is INSIDE the box, we say it's 'in' the box!",Which word makes the sentence mean the ball is *inside* the box?
K.L.2-Q2,Kindergarten,fail,"The hint directly states the correct answer, leaving nothing for the child to figure out.",A telling sentence (statement) ends with a period!,Look closely at the very end of the sentence 'I see a dog'.
K.L.2-Q3,Kindergarten,fail,"The hint describes the correct answer's visual appearance, making it easy for the child to identify the correct choice without truly understanding the concept.",Questions ask something — they end with this curvy mark!,Look at the very end of the question you just read.
K.L.2-Q4,Kindergarten,warn,"The hint provides the exact grammatical rule being tested, making it very easy for the child to deduce the correct answer without independent thought.",People's names ALWAYS start with a capital letter!,
K.L.2-Q5,Kindergarten,warn,"The hint provides the exact grammatical rules required to identify the correct sentence, which is what the question is testing, thus heavily guiding the child to the answer.",A correct sentence needs: capital letter at the start AND a period at the end!,
K.L.4-Q1,Kindergarten,fail,"The hint directly states the correct answer, which is one of the choices provided.",The ending '-ed' means something already happened — in the past!,Look closely at the word JUMPED and what the -ed tells you.
K.L.4-Q2,Kindergarten,fail,The hint directly states the meaning of 'un-' which is the correct answer.,Un- means 'not.' So unhappy means NOT happy!,Think about what makes the girl frown when she is UNhappy.
K.L.4-Q3,Kindergarten,fail,"The hint directly states the grammatical rule that is the correct answer, allowing the child to copy the concept.",Adding '-s' usually means there is more than one!,Look at the number before 'dogs' in the sentence.
K.L.4-Q4,Kindergarten,fail,"The hint directly states the correct answer, 'Full of help,' which the child can copy into the choice.",-ful means 'full of.' So helpful means full of help!,Look closely at the word 'helpful' in the sentence.
K.L.4-Q5,Kindergarten,fail,"The hint directly states the correct answer, 'without care,' which the child can copy.",-less means 'without.' Careless = without care (not being careful)!,Re-read the sentence and think about what 'careless' means.
K.L.5-Q1,Kindergarten,warn,"The hint describes the correct category so thoroughly that it leaves little room for the child to figure it out independently, effectively leading them directly to the answer.",These are all things you eat that grow on trees or bushes — they're all types of...,
K.L.5-Q2,Kindergarten,warn,The hint uses a fill-in-the-blank structure that heavily implies the correct answer without explicitly stating it.,"Opposites are as different as can be. If something isn't hot, it's...",
K.L.5-Q3,Kindergarten,fail,"The hint directly defines the correct answer 'strutting' by linking it to 'walking proudly,' which is a key part of the question's definition.",Think of a peacock walking proudly — that's strutting!,Focus on the words 'proud' and 'fancy' in the question.
K.L.5-Q4,Kindergarten,warn,"The hint provides a defining characteristic of the correct answer ('living creatures'), which heavily implies the category 'Animals' without explicitly stating it.",They are all living creatures — what group do they belong to?,
K.L.5-Q5,Kindergarten,fail,"The hint directly explains the order of happiness for each item, effectively stating the correct answer.","A smile is quiet, a giggle is in the middle, and a laugh is the biggest!","Think about the words smile, giggle, and laugh. How big is the happy feeling for each?"
K.L.6-Q2,Kindergarten,fail,"The hint directly defines 'in a row' by stating it means to 'make a straight line,' which is a paraphrase of the correct answer 'One behind the other in a line.'","When things are 'in a row,' they make a straight line!",Think about what 'line up' means.
K.L.6-Q3,Kindergarten,fail,"The hint directly defines 'hibernating' as 'go to sleep for the whole winter,' which is a direct paraphrase of the correct answer 'Sleep for a long time.'",Bears go to sleep for the whole winter — that's hibernating!,Re-read the sentence about bears and winter.
K.L.6-Q4,Kindergarten,fail,"The hint paraphrases the correct answer, telling the child that 'tricky' means 'you really have to think to solve it,' which is very close to 'hard to figure out.'","If something is tricky, you really have to think to solve it!",Think about what your friend meant when they said the puzzle was 'TRICKY'.
K.L.6-Q5,Kindergarten,warn,"The hint asks a question that strongly implies the correct answer about what happens to trees in fall, making it very easy for a child to infer the answer without re-reading.",Think about what you know about fall — what happens to the trees?,
RL.1.1-Q1,1st Grade,warn,"The hint directs the child to the exact sentence and asks the question again, making it very easy to find the specific number in the text.",Read the first sentence again — how many apples?,
RL.1.1-Q4,1st Grade,warn,The hint points directly to the sentence containing the answer and asks a very specific question that almost states the answer.,Read the second sentence — what went on top?,
RL.1.2-Q1,1st Grade,warn,"The hint strongly points to the action (practice) that directly leads to the story's lesson, making the correct answer very obvious without explicitly stating it.",What did Tom do before the race that helped him win?,
RL.1.2-Q2,1st Grade,warn,"The hint points directly to the cause-and-effect that forms the moral lesson, making the inference very easy without explicitly stating the answer.",What happened when Mia didn't share?,
RL.1.2-Q3,1st Grade,warn,The hint strongly guides the child to the exact reasoning behind the lesson without explicitly stating the answer.,Who was ready for winter and why?,
RL.1.2-Q5,1st Grade,warn,"The hint points directly to the feelings Sara experienced after lying versus telling the truth, which is the core of the lesson and makes the correct answer very easy to infer.",How did Sara feel after she told the truth vs. the lie?,
