id,level,severity,check_name,message
RI.K.4-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.7)
RI.K.4-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.7)
RI.K.4-Q4,Kindergarten,warn,judge,The hint directly gives away the answer by stating 'that's what migrate means!' instead of guiding the student to infer the meaning from the context clue.
RI.K.4-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.7)
RI.K.5-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.0)
RI.K.5-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.4)
RI.K.5-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.4)
RI.K.5-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.6)
RI.K.5-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RI.K.5-Q5,Kindergarten,warn,judge,"The question and answer choices are appropriate for Kindergarten, but the hint directly names parts of the correct answer, effectively giving it away rather than guiding the student's thinking."
RI.K.6-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.8)
RI.K.6-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.7)
RI.K.6-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.5)
RI.K.6-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 8.0)
RI.K.6-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.9)
RI.K.7-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.2)
RI.K.7-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.6)
RI.K.7-Q3,Kindergarten,fail,judge,"The hint, 'The picture gives MORE details — it shows each step!', is too close to the correct answer, 'It shows all the steps in order,' and essentially gives away the answer rather than guiding the student."
RI.K.7-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 8.2)
RI.K.7-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.7)
RI.K.8-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.0)
RI.K.8-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.4)
RI.K.8-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
RI.K.8-Q4,Kindergarten,fail,judge,"The hint completely gives away the answer by explicitly counting the reasons and stating the total, rather than guiding the student to find the answer independently."
RI.K.8-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.0)
RI.K.9-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
RI.K.9-Q2,Kindergarten,warn,judge,"The distractor 'They are about different topics' is ambiguous for Kindergarten; while both books are about rain, they discuss different aspects of rain, which could be interpreted as different topics by a young learner, making it potentially defensible."
RI.K.9-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.0)
RI.K.9-Q4,Kindergarten,warn,judge,"The hint is very direct and almost gives away the answer by explicitly stating that 'sit, stay, and shake' are 'training,' which is the correct answer choice."
RI.K.9-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.6)
RF.K.1a-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.6)
RF.K.1a-Q1,Kindergarten,warn,judge,"The hint ""We read from LEFT to right!"" directly gives away the answer ""The left side"" rather than guiding the student to the correct response."
RF.K.1a-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.5)
RF.K.1a-Q2,Kindergarten,warn,judge,"The hint directly gives away the correct answer by describing the exact eye movement, which undermines the purpose of the question as an assessment."
RF.K.1a-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RF.K.1a-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.1)
RF.K.1a-Q4,Kindergarten,warn,judge,"The prompt is clear and the correct answer is accurate, but the hint directly gives away the answer by stating the exact direction of reading."
RF.K.1a-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.2)
RF.K.1a-Q5,Kindergarten,warn,judge,"The question is clear and appropriate for Kindergarten, and the distractors are unambiguously wrong, but the hint directly provides the correct answer."
RF.K.1a-Q6,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
RF.K.1a-Q6,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RF.K.1a-Q7,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
RF.K.1a-Q7,Kindergarten,fail,judge,"The prompt is incomplete as it asks to put words in order but does not provide the words to be ordered, making the question unanswerable."
RF.K.1a-Q8,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
RF.K.1a-Q8,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RF.K.1b-Q1,Kindergarten,warn,judge,"The prompt and choices are appropriate for Kindergarten, but the hint gives away the correct answer directly by stating the letters and their order."
RF.K.1b-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RF.K.1b-Q3,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
RF.K.1b-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.9)
RF.K.1b-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.9)
RF.K.1b-Q5,Kindergarten,fail,judge,"The hint directly gives away the correct answer, stating 'We can write down anything we say using letters!' when the correct answer is 'Written with letters'."
RF.K.1c-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.4)
RF.K.1c-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.7)
RF.K.1c-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RF.K.1c-Q3,Kindergarten,fail,judge,"The hint directly provides the correct answer by showing the proper segmentation and explicitly stating the number of words, which defeats its purpose."
RF.K.1c-Q4,Kindergarten,fail,judge,"The hint directly provides the segmented words, effectively giving away the answer rather than guiding the student to discover it independently."
RF.K.1c-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.7)
RF.K.1d-Q1,Kindergarten,fail,unique_choices,Duplicate choices
RF.K.1d-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.0)
RF.K.1d-Q1,Kindergarten,warn,judge,"The question is clear and answerable for the grade, but there is a duplicate correct answer choice, and the hint is very leading, almost giving away the answer."
RF.K.1d-Q2,Kindergarten,fail,unique_choices,Duplicate choices
RF.K.1d-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RF.K.1d-Q2,Kindergarten,fail,judge,"The prompt asks for the lowercase version of 'G', which is 'g', but the provided correct answer is 'G' (uppercase), and the hint correctly states that the small 'G' looks like 'g', creating a direct contradiction and making the question unanswerable as written."
RF.K.1d-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RF.K.1d-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.5)
RF.K.1d-Q4,Kindergarten,warn,judge,"The prompt and distractors are appropriate for the grade level, but the hint directly provides the answer by filling in the blank, which undermines the assessment."
RF.K.1d-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.1)
RF.K.1d-Q5,Kindergarten,fail,judge,"The hint directly provides the correct answer, which defeats its purpose of guiding the student without giving it away."
RF.K.2a-Q1,Kindergarten,fail,judge,"The hint directly gives away the correct answer by explicitly stating the rhyming pair, which defeats the purpose of a multiple-choice question."
RF.K.2a-Q3,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.6)
RF.K.2b-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
RF.K.2b-Q1,Kindergarten,warn,judge,"The hint directly provides the correct answer, which undermines its purpose of guiding without revealing."
RF.K.2b-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.5)
RF.K.2b-Q2,Kindergarten,warn,judge,"The prompt, choices, and correct answer are appropriate for the grade and concept, but the hint directly provides the answer, negating its purpose as a supportive guide."
RF.K.2b-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.1)
RF.K.2b-Q3,Kindergarten,fail,judge,"The hint directly provides the correct answer by segmenting the word and instructing the student to count the claps, which defeats the purpose of assessing their understanding."
RF.K.2b-Q4,Kindergarten,warn,judge,"The hint explicitly provides the syllable count for all words, including the correct answer, which gives away the solution rather than guiding the student."
RF.K.2b-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.8)
RF.K.2c-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.4)
RF.K.2c-Q3,Kindergarten,fail,judge,"The hint directly provides the correct answer by explicitly stating the onset and rime for the word ""mop"", which is what the prompt asks the student to identify."
RF.K.2c-Q4,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.2)
RF.K.2d-Q1,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.3)
RF.K.2d-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.3)
RF.K.2d-Q3,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.3)
RF.K.2d-Q3,Kindergarten,warn,judge,"The hint is too direct and gives away the answer by stating the middle sound is the vowel, and only one choice is a vowel sound from the word."
RF.K.2d-Q4,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.3)
RF.K.2d-Q5,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.6)
RF.K.2e-Q1,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.0)
RF.K.2e-Q1,Kindergarten,warn,judge,"The question is appropriate for the grade level and the distractors are plausible, but the hint directly gives away the answer by sounding out the correct word."
RF.K.2e-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.1)
RF.K.2e-Q2,Kindergarten,fail,judge,"The hint directly gives away the answer by explicitly stating the resulting word, rather than guiding the student to figure it out."
RF.K.2e-Q3,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.1)
RF.K.2e-Q4,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.1)
RF.K.2e-Q5,Kindergarten,warn,judge,The hint directly gives away the answer by saying 's-top!' instead of guiding the student to blend the sounds independently.
RF.K.3a-Q5,Kindergarten,warn,judge,"The question and choices are appropriate for Kindergarten, but the hint explicitly states the correct answer, giving it away rather than guiding the student."
RF.K.3b-Q1,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.2)
RF.K.3b-Q1,Kindergarten,warn,judge,"The hint directly provides the correct answer, 'lake,' which defeats its purpose of guiding the student without giving away the solution."
RF.K.3b-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
RF.K.3b-Q2,Kindergarten,fail,judge,"The hint provides the correct answer, 'sit', which defeats the purpose of a hint and makes the question too easy."
RF.K.3b-Q3,Kindergarten,fail,judge,"The hint explicitly gives away the correct answer, which defeats its purpose of guiding without revealing."
RF.K.3b-Q4,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
RF.K.3b-Q4,Kindergarten,warn,judge,"The hint provides the correct answer, 'red', which gives away the solution rather than guiding the student to discover it independently."
RF.K.3b-Q5,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
RF.K.3b-Q5,Kindergarten,fail,judge,"The hint provides the correct answer ('cup') as an example of a short 'u' sound, which gives away the solution to the student."
RF.K.3c-Q1,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.2)
RF.K.3c-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.6)
RF.K.3c-Q2,Kindergarten,fail,judge,"The hint directly provides the correct answer by spelling out the word 'do', which defeats the purpose of the question for a Kindergarten student."
RF.K.3c-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.9)
RF.K.3c-Q3,Kindergarten,fail,judge,"The hint directly provides the correct spelling of the word 'is', which gives away the answer and negates the purpose of the question for a Kindergarten student."
RF.K.3c-Q4,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.0)
RF.K.3c-Q4,Kindergarten,fail,judge,"The hint directly provides the correct spelling of the sight word, which is the core task of the question, thus giving away the answer."
RF.K.3c-Q5,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -2.4)
RF.K.3c-Q5,Kindergarten,warn,judge,"The hint directly provides the correct answer by stating 'We say ""She is""', which is the correct fill-in-the-blank, thus giving away the answer rather than just helping."
RF.K.3d-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.8)
RF.K.3d-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.7)
RF.K.3d-Q2,Kindergarten,warn,judge,"The hint is very direct, explicitly pointing out the differing letters and their positions, which comes close to giving away the answer for a Kindergarten student."
RF.K.3d-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.6)
RF.K.3d-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RF.K.3d-Q4,Kindergarten,warn,judge,"The hint is very close to giving away the answer by specifying that the 'middle vowel is different,' which directly points to the changing letters for a Kindergarten student."
RF.K.3d-Q5,Kindergarten,fail,judge,"The hint directly provides the answer, which defeats the purpose of a hint and does not encourage the student to think independently."
RF.K.4-Q1,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
RF.K.4-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.3)
K.L.1-Q2,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
K.L.1-Q3,Kindergarten,warn,judge,"The hint directly provides the rule for forming the plural of 'cat', which makes the answer too obvious rather than guiding the student to recall the rule independently."
K.L.1-Q5,Kindergarten,fail,judge,The hint directly gives away the correct answer by stating 'we say it's 'in' the box' when the question asks which word means inside the box.
K.L.2-Q1,Kindergarten,fail,unique_choices,Duplicate choices
K.L.2-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 7.2)
K.L.2-Q1,Kindergarten,fail,judge,"The question contains two identical answer choices that are both correct, making the question unanswerable as a multiple-choice item."
K.L.2-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.1)
K.L.2-Q2,Kindergarten,warn,judge,"The hint directly gives away the correct answer, which diminishes its effectiveness as a supportive learning tool."
K.L.2-Q4,Kindergarten,fail,unique_choices,Duplicate choices
K.L.2-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
K.L.2-Q4,Kindergarten,fail,judge,"The question has two identical correct answer choices, making it ambiguous and unanswerable as a single-choice question."
K.L.2-Q5,Kindergarten,fail,unique_choices,Duplicate choices
K.L.2-Q5,Kindergarten,warn,judge,"The question includes duplicate distractors, which reduces the effectiveness of the assessment, and the hint is very direct, almost giving away the answer by stating the exact rules for correctness."
K.L.4-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.1)
K.L.4-Q1,Kindergarten,warn,judge,"The hint directly provides the correct answer, which undermines the purpose of the question."
K.L.4-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.7)
K.L.4-Q2,Kindergarten,fail,judge,"The hint directly provides the correct answer, which defeats its purpose of guiding the student without giving away the solution."
K.L.4-Q3,Kindergarten,warn,reading_level,Reads easier than Kindergarten (FK -1.1)
K.L.4-Q3,Kindergarten,warn,judge,"The hint directly provides the answer by explaining the rule of adding '-s' for plurality, rather than guiding the student to discover it."
K.L.4-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.8)
K.L.4-Q4,Kindergarten,fail,judge,"The hint directly provides the correct answer, which defeats the purpose of a hint and does not allow the student to deduce the meaning independently."
K.L.4-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
K.L.4-Q5,Kindergarten,warn,judge,The hint directly gives away the correct answer by explicitly stating the meaning of the suffix and then defining the word using that meaning.
K.L.5-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 10.5)
K.L.5-Q2,Kindergarten,warn,judge,"The hint is too leading for a Kindergarten student, as completing the phrase 'If something isn't hot, it's...' strongly suggests 'cold' and could give away the answer rather than just guide them."
K.L.5-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.1)
K.L.5-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 7.4)
K.L.5-Q5,Kindergarten,warn,judge,"The prompt is clear and the correct answer is appropriate for the grade level, but the hint explicitly defines the order of intensity for each action, effectively giving away the answer rather than just guiding the student."
K.L.5-Q6,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
K.L.5-Q6,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
K.L.5-Q7,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
K.L.5-Q7,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
K.L.5-Q8,Kindergarten,fail,correct_present,Correct answer not in choices verbatim
K.L.5-Q8,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
K.L.6-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.6)
K.L.6-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.4)
K.L.6-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.4)
K.L.6-Q3,Kindergarten,fail,judge,"The prompt introduces the word 'hibernate' but does not provide its definition, meaning the correct answer is not literally supported by the prompt. Additionally, the hint directly gives away the answer rather than guiding the student."
K.L.6-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.0)
K.L.6-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RL.1.1-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.2)
RL.1.1-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.9)
RL.1.1-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.8)
RL.1.2-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.7)
RL.1.2-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.6)
RL.1.2-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.4)
RL.1.2-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.9)
RL.1.3-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.3)
RL.1.3-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.3)
RL.1.3-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.0)
RL.1.3-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.0)
RL.1.4-Q1,1st Grade,warn,reading_level,Reads easier than 1st Grade (FK -0.9)
RL.1.4-Q1,1st Grade,fail,judge,"The correct answer 'Bright' describes how the sun looks, not how it feels; the word 'warmed' in the sentence describes how the sun feels, making the provided correct answer incorrect for the question asked."
RL.1.4-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.1)
RL.1.4-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.8)
RL.1.4-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.7)
RL.1.4-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.7)
RL.1.5-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 9.0)
RL.1.5-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.9)
RL.1.5-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.3)
RL.1.5-Q3,1st Grade,warn,judge,"The hint, ""Stories come from someone's imagination,"" is too direct as it essentially defines the core concept of the correct answer, ""They have made-up characters and events,"" rather than guiding the student to think independently."
RL.1.5-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 7.5)
RL.1.5-Q4,1st Grade,warn,judge,"The hint is too direct and essentially gives away the answer by defining 'informational' as 'real information,' which is almost identical to the correct answer 'real facts.'"
RL.1.5-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.5)
RL.1.6-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.4)
RL.1.6-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.3)
RL.1.7-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.4)
RL.1.7-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.5)
RL.1.7-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.8)
RL.1.9-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.0)
RL.1.9-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.0)
RL.1.9-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.9)
RL.1.9-Q4,1st Grade,fail,judge,"The term 'compare' generally involves looking for both similarities ('the same') and differences, making 'Different' a plausible answer choice as well. The hint directly gives away the answer by narrowly defining 'compare' as only finding what's similar, which is an oversimplification for the full meaning of the word."
RL.1.9-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.9)
RL.1.9-Q5,1st Grade,fail,judge,"The hint directly gives away the answer by rephrasing 'different' as 'not the same', which undermines the purpose of the question."
RI.1.1-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.4)
RI.1.1-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.9)
RI.1.1-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.5)
RI.1.2-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.0)
RI.1.2-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.6)
RI.1.2-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.4)
RI.1.3-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.5)
RI.1.3-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.6)
RI.1.3-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.0)
RI.1.3-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 6.4)
RI.1.4-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.9)
RI.1.4-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.5)
RI.1.4-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.9)
RI.1.4-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 5.8)
RI.1.4-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.8)
RI.1.5-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.7)
RI.1.5-Q1,1st Grade,fail,judge,"The hint directly gives away the correct answer by defining the table of contents in a way that perfectly matches the question, rather than guiding the student to the answer."
RI.1.5-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.2)
RI.1.5-Q3,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 8.5)
RI.1.5-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 11.9)
RI.1.5-Q4,1st Grade,warn,judge,"The prompt and choices are appropriate for the grade level, but the hint directly gives away the correct answer by stating that authors make words bold to show importance."
RI.1.5-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.6)
RI.1.6-Q1,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.8)
RI.1.6-Q2,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 4.4)
RI.1.6-Q4,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 2.9)
RI.1.6-Q5,1st Grade,warn,reading_level,Reads harder than 1st Grade (FK 3.3)
